order_id,checkout_id,brand_id,retailer_id,order_amount,has_discount,fees_percentage,payment_cost_percentage,shipping_cost_euro
5987,2297,53,5062,"156,96",0,"0,15","0,05","12,36"
6085,2345,53,5095,"110,47",100,"0,05","0,05","11,12"
11310,3881,53,5265,"109,5",0,"0,15","0,05","13,28"
7575,2504,53,5294,"118,37",0,"0,15","0,05","12,95"
8145,2885,53,5441,"238,61",0,"0,15","0,05","11,41"
8485,3031,53,5870,"108,26",0,"0,15","0,05","13,28"
9806,3444,53,6435,"147,82",0,"0,15","0,05","11,45"
987,405,54,172,"188,88",0,"0,15","0,05",15
11586,2706,54,5537,"614,52",100,"0,05","0,05","44,6151784"
8866,3154,54,6096,"141,5",0,"0,15","0,05","11,21"
8874,3075,55,8,"184,32",0,"0,15","0,05","17,1833495"
10873,848,55,158,"273,6",0,"0,15","0,05","26,9012219"
5219,2008,55,457,"184,32",0,"0,15","0,05","45,22"
10396,527,55,1045,"136,8",0,"0,15","0,05","8,47325361"
2887,619,55,1529,"136,8",0,"0,15","0,05","35,27"
1924,908,55,2039,"136,8",0,"0,15","0,05","41,49"
6737,3090,55,2133,"184,32",0,"0,15","0,05","19,3029871"
2160,986,55,2341,"139,68",0,"0,15","0,05","31,07"
2347,1079,55,2567,"136,8",0,"0,15","0,05","31,07"
10753,3463,55,3181,"184,32",0,"0,15","0,05","12,4987534"
535,285,56,892,147,100,"0,05","0,05","13,75"
1879,817,56,2022,"103,5",0,"0,15","0,05","13,75"
10630,2307,56,2022,100,0,"0,15","0,05","13,75"
5557,2128,57,4418,"187,37",0,"0,15","0,05","17,46"
2505,1139,58,557,"311,04",0,"0,15","0,05","23,79"
8398,2787,58,4581,"155,52",0,"0,15","0,05","17,8652303"
1670,281,61,789,"124,2",0,"0,15","0,05","9,55"
2219,987,61,2342,"132,6",0,"0,15","0,05","8,14"
2230,1020,61,2467,"198,6",0,"0,15","0,05","9,55"
9021,1148,62,2280,80,0,"0,15","0,05","4,95"
4493,1624,63,3317,"110,81",0,"0,15","0,05","8,94"
4087,1655,64,184,"593,75",0,"0,15","0,05","31,65"
670,369,64,410,"532,27",0,"0,15","0,05",36
2345,315,64,410,"150,11",0,"0,15","0,05","19,2"
7706,2813,64,410,"123,26",0,"0,15","0,05","20,05"
2914,590,64,513,"109,21",0,"0,15","0,05","19,2"
1904,903,64,797,"350,05",0,"0,15","0,05","28,8"
4610,1376,64,797,"195,31",0,"0,15","0,05","20,05"
1631,389,64,1085,"108,17",0,"0,15","0,05","19,2"
4591,1763,64,1412,"107,6",0,"0,15","0,05","16,88"
9709,2647,64,1599,"120,48",0,"0,15","0,05","16,88"
1265,641,64,1680,"107,12",0,"0,15","0,05","22,8"
3899,672,64,1680,"119,02",0,"0,15","0,05","20,05"
8858,2078,64,1680,"140,02",0,"0,15","0,05","20,05"
1336,678,64,1685,"106,02",0,"0,15","0,05","19,2"
4718,1748,64,1685,"105,75",0,"0,15","0,05","16,88"
1706,687,64,1737,"110,31",0,"0,15","0,05","22,8"
2538,1169,64,2862,"340,26",100,"0,05","0,05","28,8"
4456,1755,64,4354,"107,16",0,"0,15","0,05","16,88"
4782,1829,64,4445,"136,99",100,"0,05","0,05","20,05"
5602,2132,64,4854,"118,16",0,"0,15","0,05","16,88"
8817,3037,64,5417,"325,73",0,"0,15","0,05","20,05"
1290,653,65,1022,"112,15",0,"0,15","0,05","7,45"
2627,381,65,1025,"201,3",100,"0,05","0,05","4,95"
2709,1235,65,1294,"314,5",0,"0,15","0,05","4,95"
921,507,65,1329,"435,1",100,"0,05","0,05","8,85"
1279,645,65,1697,"307,45",100,"0,05","0,05","7,45"
4602,1786,65,1863,"106,8",0,"0,15","0,05","4,95"
9264,2433,65,2278,"100,75",0,"0,15","0,05","4,95"
6372,2417,65,2876,"244,1",0,"0,15","0,05","12,55"
803,438,66,343,"554,91",0,"0,15","0,05","56,0129491"
3102,1412,66,343,"183,46",0,"0,15","0,05","23,864571"
