,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
69,69,tt0090375,Zmeelov,Vadim Derbenyov,Zmeelov,1986-01-01,97,6,101,Crime,"B. Bostryakov, Aleksandr Mikhaylov"
70,70,tt0090554,38,Wolfgang Glück,38,1986-01-01,97,6,172,Drama,"Undine Brixner, Tanja von Oertzen, Tobias Engel"
71,71,tt0090555,Crocodile Dundee,Peter Faiman,Crocodile Dundee,1986-01-01,97,6,109321,Action,"Paul Hogan, Phil Judd, Anne Carlisle, Paul Hogan"
72,72,tt0090556,"night, Mother",Tom Moore,"night, Mother",1986-01-01,96,7,2422,Drama,"Michael Kenworthy, Marsha Norman, Sissy Spacek"
73,73,tt0090557,Round Midnight,Bertrand Tavernier,Round Midnight,1986-01-01,133,7,5541,Drama,"Bobby Hutcherson, Bruno de Keyzer, Dexter Gordon"
74,74,tt0090561,27 horas,Montxo Armendáriz,27 horas,1986-01-01,81,6,916,Drama,"Martxelo Rubio, Martxelo Rubio"
75,75,tt0090563,Betty Blue,Jean-Jacques Beineix,37¶ø2 le matin,1986-01-01,119,7,22238,Drama,"Jean-Jacques Beineix, Jean-Hugues Anglade, Claude Aufaure"
76,76,tt0090564,3:15 the Moment of Truth,Larry Gross,03:15,1986-01-01,86,5,754,Crime,Adam Baldwin
77,77,tt0090565,Four Adventures of Reinette and Mirabelle,Éric Rohmer,4 aventures de Reinette et Mirabelle,1987-01-01,99,7,3198,Comedy,"Joëlle Miquel, Ronan Girre, Jean-Claude Brisseau"
78,78,tt0090567,52 Pick-Up,John Frankenheimer,52 Pick-Up,1986-01-01,110,6,6440,Crime,"Robert Trebor, Debra Satell, Roy Scheider"
79,79,tt0090568,8 Million Ways to Die,Hal Ashby,8 Million Ways to Die,1986-01-01,115,5,5507,Action,"Christa Denton, Lawrence Block, Jeff Bridges"
80,80,tt0090570,84 Charing Cross Road,David Hugh Jones,84 Charing Cross Road,1987-01-01,100,7,10520,Biography,"Eleanor David, Judy Courtney, Ronn Carroll, Anne Bancroft"
81,81,tt0090575,Aakhree Raasta,Bhagyaraj,Aakhree Raasta,1986-01-01,164,7,1496,Action,"Bhagyaraj, Amitabh Bachchan"
82,82,tt0090576,The Assault,Fons Rademakers,De aanslag,1986-01-01,141,7,3311,Drama,"Jurriaan Andriessen, Edda Barends, Tabe Bas, Derek de Lint"
83,83,tt0090578,Abducted,Boon Collins,Abducted,1986-01-01,90,5,308,Drama,Dan Haggerty
84,84,tt0090579,Voyeur,Alex van Warmerdam,Abel,1986-01-01,100,7,2434,Comedy,"Jan-Willem Hees, Alex van Warmerdam"
85,85,tt0090583,About Last Night,Edward Zwick,About Last Night...,1986-01-01,113,6,16546,Comedy,"Karla Bonoff, Paul Davis, Dawn Arnemann, Rob Lowe"
86,86,tt0090585,Absolute Beginners,Julien Temple,Absolute Beginners,1986-01-01,108,5,3548,Drama,"Richard Burridge, Gerry Alexander, Patsy Kensit"
87,87,tt0090601,Aladdin,Bruno Corbucci,Superfantagenio,1986-01-01,96,5,3402,Adventure,"Julian Voloshin, Diamy Spencer, Bud Spencer"
88,88,tt0090605,Aliens,James Cameron,Aliens,1986-01-01,137,8,727915,Action,"Jenette Goldstein, Bill Paxton, Lance Henriksen, Sigourney Weaver"
89,89,tt0090610,The Children of Noisy Village,Lasse Hallström,Alla vi barn i Bullerbyn,1986-01-01,87,6,2258,Family,"Peter Dywik, Tove Edfeldt, Ellen Demérus"
90,90,tt0090611,Allah-Rakha,Ketan Desai,Allah-Rakha,1986-01-01,160,5,167,Action,Jackie Shroff
91,91,tt0090634,Report to Mother,John Abraham,Amma Ariyan,1986-01-01,115,7,209,Drama,John Abraham
92,92,tt0090636,El amor brujo,Carlos Saura,El amor brujo,1986-01-01,100,7,930,Drama,"María Pagés, Antonio Gades, Cristina Hoyos"
93,93,tt0090637,Amorosa,Mai Zetterling,Amorosa,1986-01-01,117,5,207,Biography,"Bissa Abelli, Curt Hilfon, Johan Schildt, Stina Ekblad"
94,94,tt0090644,Anguish,Bigas Luna,Angustia,1987-01-01,86,6,4034,Horror,"Gilbert Price, Bigas Luna, Zelda Rubinstein"
95,95,tt0090648,Anne Trister,Léa Pool,Anne Trister,1986-01-01,103,7,293,Drama,"Pierre Mignot, Lucie Laurier"
96,96,tt0090655,April Fool's Day,Fred Walton,April Fool's Day,1986-01-01,89,6,17400,Horror,"Jay Baker, Lloyd Berry, Tom Heaton, Deborah Foreman"
97,97,tt0090658,Arion,Yoshikazu Yasuhiko,Arion,1986-01-01,118,6,403,Action,"Yoshikazu Yasuhiko, Shigeru Nakahara"
98,98,tt0090659,Armed Response,Fred Olen Ray,Armed Response,1986-01-01,86,5,734,Action,"Lois Hamilton, Brad Arrington, Stephen Carter, David Carradine"
99,99,tt0090660,Armed and Dangerous,Mark L. Lester,Armed and Dangerous,1986-01-01,88,5,12171,Action,"Robert Gray, Christine Dupree, Wilson Camp, John Candy"
100,100,tt0090665,Halfaouine: Boy of the Terraces,Férid Boughedir,Asfour Stah,1990-01-01,98,6,1676,Comedy,"Fatma Ben Saïdane, Mustapha Adouani"
101,101,tt0090670,At Close Range,James Foley,At Close Range,1986-01-01,111,6,16734,Crime,"James Foley, Bob McDivitt, Marshall Fallwell Jr., Sean Penn"
102,102,tt0090671,Attention bandits!,Claude Lelouch,Attention bandits!,1987-01-01,111,6,356,Drama,Jean Yanne
103,103,tt0090677,Avanti Popolo,Rafi Bukai,Avanti Popolo,1986-01-01,84,7,400,Drama,"Rafi Bukai, Salim Daw"
104,104,tt0090678,Avenging Force,Sam Firstenberg,Avenging Force,1986-01-01,104,5,3068,Action,"Loren Farmer, Ramon Olavarietta, Becki Davis"
105,105,tt0090679,Year of Enlightment,Fernando Trueba,El aÇño de las luces,1986-01-01,105,6,1083,Comedy,"Violeta Cela, Ángel Muñoz Alonso, Jorge Sanz"
106,106,tt0090684,Bach et Bottine,André Melançon,Bach et Bottine,1986-01-01,96,6,539,Comedy,"Maryse Cartwright, Mahée Paiement"
107,107,tt0090685,Back to School,Alan Metter,Back to School,1986-01-01,96,6,34010,Comedy,"Terry Farrell, Adrienne Barbeau, David Rawlins, Rodney Dangerfield"
108,108,tt0090686,Backlash,Bill Bennett,Backlash,1986-01-01,89,5,176,Crime,"Bill Bennett, David Argue"
109,109,tt0090689,Ballad of dog beach,José Fonseca e Costa,Balada da Praia dos Cǜes,1987-01-01,100,6,220,Crime,"Tony Morgon, Pedro Bandeira-Freire, Assumpta Serna"
110,110,tt0090693,Band of the Hand,Paul Michael Glaser,Band of the Hand,1986-01-01,109,6,3074,Action,"Marcy Carriker, Leo Garen, Howie Epstein, Stephen Lang"
111,111,tt0090700,Early Spring,Astrid Henning-Jensen,Barndommens gade,1986-01-01,90,6,409,Drama,"Per Sessingø, Eva Madsen, Litten Hansen, Sofie Gråbøl"
112,112,tt0090710,Belizaire the Cajun,Glen Pitre,Belizaire the Cajun,1986-01-01,103,6,475,Drama,"Ernie Vincent, Loulan Pitre, Glen Pitre, Armand Assante"
113,113,tt0090713,The Best of Times,Roger Spottiswoode,The Best of Times,1986-01-01,104,6,7722,Comedy,"Vister Hayes, Norm Schachter, Robin Williams"
114,114,tt0090722,The Ghost Snatchers,Ngai Choi Lam,Bi gui zhuo,1986-01-01,89,6,130,Comedy,"Joyce Godenzi, Michael Wai-Man Chan"
115,115,tt0090725,The Beginning,Salah Abouseif,Al-Bidaya,1986-01-01,123,7,432,Comedy,Hamdy Ahmed
116,116,tt0090728,Big Trouble in Little China,John Carpenter,Big Trouble in Little China,1986-01-01,99,7,145317,Action,"Keith Barish, Lia Chang, J. Barry Herron, Kurt Russell"
117,117,tt0090729,Biggles: Adventures in Time,John Hough,Biggles,1986-01-01,108,5,3177,Adventure,"Francesca Gonshaw, Marcus Gilbert, John Hough"
118,118,tt0090730,Billy Galvin,John Gray,Billy Galvin,1986-01-01,99,6,101,Drama,Karl Malden
119,119,tt0090734,Black Mic Mac,Thomas Gilou,Black Mic Mac,1986-01-01,93,5,278,Comedy,"Éric Nonn, Thomas Gilou, Ray Lema, Jacques Villeret"
120,120,tt0090735,Black Moon Rising,Harley Cokeliss,Black Moon Rising,1986-01-01,100,5,6213,Action,"Eduardo Paolozzi, Polly Burson, Dalton Cathey, Tommy Lee Jones"
121,121,tt0090738,Black Widow,Bob Rafelson,Black Widow,1987-01-01,102,6,10332,Crime,"Richard Arnold, Debra Winger"
122,122,tt0090756,Blue Velvet,David Lynch,Blue Velvet,1986-01-01,120,7,204474,Crime,"Laura Dern, Julee Cruise, Dennis Hopper, Isabella Rossellini"
123,123,tt0090760,Bolek i Lolek na Dzikim Zachodzie,Stanislaw Dülz,Bolek i Lolek na Dzikim Zachodzie,1986-01-01,95,6,217,Adventure,"Stanislaw Dülz, Alfred Ledwig, Piotr Fronczewski"
124,124,tt0090763,The Corruption,Salvatore Samperi,La bonne,1986-01-01,82,5,558,Drama,"Florence Guérin, Florence Guérin"
125,125,tt0090767,The Boss' Wife,Ziggy Steinberg,The Boss' Wife,1986-01-01,83,5,627,Comedy,Daniel Stern
126,126,tt0090768,The Boy Who Could Fly,Nick Castle,The Boy Who Could Fly,1986-01-01,114,6,6257,Drama,"Nick Castle, Lucy Deakins"
127,127,tt0090769,The Boy in Blue,Charles Jarrott,The Boy in Blue,1986-01-01,100,5,1303,Biography,"William Beeton, Nicolas Cage"
128,128,tt0090773,Bridge to Nowhere,Ian Mune,Bridge to Nowhere,1986-01-01,86,5,267,Drama,Shirley Gruar
129,129,tt0090774,Brighton Beach Memoirs,Gene Saks,Brighton Beach Memoirs,1986-01-01,108,6,3741,Comedy,"Stacey Glick, Brian Drillinger, Blythe Danner"
130,130,tt0090778,BrÇôderna Mozart,Suzanne Osten,BrÇôderna Mozart,1986-01-01,109,6,375,Comedy,"Roger Andersson, Elisabeth Erikson, Etienne Glaser"
131,131,tt0090779,Bullies,Paul Lynch,Bullies,1986-01-01,96,5,541,Action,"Beth Amos, Dehl Berti, Bernie Coulson, Jonathan Crombie"
132,132,tt0090781,The Bus,Yadollah Samadi,Otoboos,1986-01-01,112,6,145,Comedy,"Hadi Eslami, Hadi Eslami"
133,133,tt0090784,Cactus,Paul Cox,Cactus,1986-01-01,93,6,231,Drama,"Robert Menzies, Isabelle Huppert"
134,134,tt0090798,Caravaggio,Derek Jarman,Caravaggio,1986-01-01,93,6,6467,Biography,"Lol Coxhill, Emile Nicolaou"
135,135,tt0090800,The House of the Blue Shadows,Beppe Cino,La casa del buon ritorno,1986-01-01,90,5,101,Horror,NONE
136,136,tt0090805,Il caso Moro,Giuseppe Ferrara,Il caso Moro,1986-01-01,110,7,460,Crime,"Enrica Maria Modugno, Gian Maria Volontè"
137,137,tt0090812,Chameli Ki Shaadi,Basu Chatterjee,Chameli Ki Shaadi,1986-01-01,136,7,1734,Comedy,Anil Kapoor
138,138,tt0090815,Charlotte for Ever,Serge Gainsbourg,Charlotte for Ever,1986-01-01,94,5,779,Comedy,"Anne Zamberlan, Charlotte Gainsbourg"
139,139,tt0090830,Children of a Lesser God,Randa Haines,Children of a Lesser God,1986-01-01,119,7,17741,Drama,"María Cellario, Linda Bove, William D. Byrd, William Hurt"
140,140,tt0090834,The Octopuses from the Second Floor,Jindrich Polák,Chobotnice z druhǸho patra,1987-01-01,92,6,357,Animation,NONE
141,141,tt0090836,Choke Canyon,Charles Bail,Choke Canyon,1986-01-01,94,5,296,Action,"Ovidio G. Assonitis, Charles Bail, Stephen Collins"
142,142,tt0090840,The Christmas Star,Alan Shapiro,The Christmas Star,1986-01-01,94,6,726,Drama,"Renee D'Aoust, Edward Asner"
143,143,tt0090845,Wild Pigeon,Sergey Solovyov,Chuzhaya belaya i ryaboy,1986-01-01,100,6,181,Drama,"Marksen Gaukhman-Sverdlov, German Shopp"
144,144,tt0090848,The Clan of the Cave Bear,Michael Chapman,The Clan of the Cave Bear,1986-01-01,98,5,6724,Adventure,"Joey Cramer, John Doolittle, Lou Fant, Daryl Hannah"
145,145,tt0090851,The Climb,Donald Shebib,The Climb,1986-01-01,90,7,108,Adventure,"Richard Leiterman, Guy Bannerman, Bruce Greenwood"
146,146,tt0090852,Clockwise,Christopher Morahan,Clockwise,1986-01-01,96,6,13218,Comedy,"Nadia Sawalha, Ann Way, Dickie Arnold, John Cleese"
147,147,tt0090856,Club Paradise,Harold Ramis,Club Paradise,1986-01-01,96,5,6545,Comedy,"Louise Bennett, Robin Williams"
148,148,tt0090859,Cobra,George P. Cosmatos,Cobra,1986-01-01,87,5,75827,Action,"John Cafferty, Ed Arter, Val Avery, Sylvester Stallone"
149,149,tt0090863,The Color of Money,Martin Scorsese,The Color of Money,1986-01-01,119,7,87787,Drama,"Elizabeth Bracco, Harold L. Simonsen, Steve Mizerak, Paul Newman"
150,150,tt0090870,Le complexe du kangourou,Pierre Jolivet,Le complexe du kangourou,1986-01-01,86,5,121,Comedy,Roland Giraud
151,151,tt0090874,Family Council,Costa-Gavras,Conseil de famille,1986-01-01,120,5,541,Comedy,"Takis, Rémi Martin, Johnny Hallyday"
152,152,tt0090879,Cours privǸ,Pierre Granier-Deferre,Cours privǸ,1986-01-01,95,5,520,Drama,"Elizabeth Bourgine, Elizabeth Bourgine"
153,153,tt0090882,Crazy Moon,Allan Eastman,Crazy Moon,1987-01-01,90,6,660,Comedy,"Kenny Gardner, Stefan Wodoslawsky, Kiefer Sutherland"
154,154,tt0090886,Crimes of the Heart,Bruce Beresford,Crimes of the Heart,1986-01-01,105,6,4257,Comedy,"Tess Harper, Beth Henley, Diane Keaton"
155,155,tt0090887,Critters,Stephen Herek,Critters,1986-01-01,86,6,36883,Comedy,"Art Frankel, M. Emmet Walsh, Billy Green Bush, Dee Wallace"
156,156,tt0090888,Crossroads,Walter Hill,Crossroads,1986-01-01,99,7,16753,Drama,"Steve Vai, John Price, Ralph Macchio"
157,157,tt0090892,"CsÇük, Anyu!",János Rózsa,"CsÇük, Anyu!",1987-01-01,103,7,167,Drama,"János Rózsa, Simon Gévai, Dorottya Udvaros"
158,158,tt0090895,The Big Parade,Kaige Chen,Da yue bing,1986-01-01,103,5,183,Drama,Ruofu Wu
159,159,tt0090903,The Devil's Honey,Lucio Fulci,Il miele del diavolo,1986-01-01,83,5,1480,Mystery,"Stefano Madia, Gianni Giuliano, Brett Halsey"
160,160,tt0090904,Dangerously Close,Albert Pyun,Dangerously Close,1986-01-01,95,5,1469,Action,"Benmont Tench, Mark Durbin, Debra Berger, John Stockwell"
161,161,tt0090915,Dead End Drive-In,Brian Trenchard-Smith,Dead End Drive-In,1986-01-01,88,5,3507,Action,"David Jones, Ned Manning, Ian Goddard"
162,162,tt0090917,Deadly Friend,Wes Craven,Deadly Friend,1986-01-01,91,5,8247,Drama,"Michael Sharrett, Matthew Labyorteaux, Peter C. Graupner"
163,163,tt0090922,Love Unto Waste,Stanley Kwan,Dei ha ching,1986-01-01,96,6,299,Drama,Chin Tsai
164,164,tt0090927,The Delta Force,Menahem Golan,The Delta Force,1986-01-01,125,5,20999,Action,"Mosko Alkalai, Tom Carlin, John Gant, Chuck Norris"
165,165,tt0090929,Demoner,Carsten Brandt,Demoner,1986-01-01,127,5,114,Drama,Ewa Fröling
166,166,tt0090930,Demons 2,Lamberto Bava,DÇùmoni 2... l'incubo ritorna,1986-01-01,92,5,11162,Horror,"Lamberto Bava, David Edwin Knight, Fabio Poggiali"
167,167,tt0090933,Descent Into Hell,Francis Girod,Descente aux enfers,1986-01-01,88,5,603,Crime,"Rassoul Labuchin, Claude Brasseur"
168,168,tt0090934,Desert Bloom,Eugene Corr,Desert Bloom,1986-01-01,105,6,1049,Drama,"Rick Schieffer, Drasha Meyer, Jon Voight"
169,169,tt0090940,The Lunatics,Tung-Shing Yee,Din lo jing juen,1986-01-01,87,7,394,Drama,Dennis Chan
170,170,tt0090944,Devil in the Flesh,Marco Bellocchio,Diavolo in corpo,1986-01-01,114,5,1652,Drama,"Claudio Lorimer, Maruschka Detmers"
