,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,Crew,genre
4876,4876,tt0112641,Casino,Martin Scorsese,Casino,1995-01-01,178,8,530338,"Bill Allison, Steve Allen, Sharon Stone, Robert De Niro","Crime,Drama,NONE"
4877,4877,tt0112642,Casper,Brad Silberling,Casper,1995-01-01,100,6,138403,"Devon Sawa, Joe Alaskey, Christina Ricci, Bill Pullman","Comedy,Family,Fantasy"
4878,4878,tt0112652,Celluloide,Carlo Lizzani,Celluloide,1996-01-01,110,6,170,"Ugo Pirro, Giancarlo Giannini","Drama,History,NONE"
4879,4879,tt0112654,One Hundred and One Nights,Agnès Varda,Les cent et une nuits de Simon CinǸma,1995-01-01,104,6,1673,"Romain Chaveton, Alexia Stresi, Anouk Aimée","Comedy,History,Romance"
4880,4880,tt0112656,Chameleon,Michael Pavone,Chameleon,1995-01-01,108,6,469,Anthony LaPaglia,"Thriller,NONE,NONE"
4881,4881,tt0112659,Super Citizen Ko,Jen Wan,Chao ji da guo min,1995-01-01,121,7,255,"Jen Wan, Tsung-Pei Fan, Chiu-Yen Chen","Drama,NONE,NONE"
4882,4882,tt0112665,Love Sick,Savi Gabizon,Hole Ahava B'Shikun Gimel,1995-01-01,94,6,218,"Hanna Azoulay Hasfari, Ehud Banai, Avigail Ariely","Comedy,Drama,NONE"
4883,4883,tt0112672,Lover of the Last Empress,Andrew Lau,Chi Hei bei mat sang woo,1995-01-01,100,5,318,NONE,"Drama,History,NONE"
4884,4884,tt0112674,Il cielo Çù sempre piÇû blu,Antonello Grimaldi,Il cielo Çù sempre piÇû blu,1996-01-01,110,5,244,"Alessandro Banci, Sante Maurizi, Asia Argento","Drama,NONE,NONE"
4885,4885,tt0112675,Cilantro y perejil,Rafael Montero,Cilantro y perejil,1996-01-01,90,6,432,"Angélica Aragón, Arcelia Ramírez","Comedy,Romance,NONE"
4886,4886,tt0112679,Circle of Friends,Pat O'Connor,Circle of Friends,1995-01-01,103,6,8893,"Pamela Cardillo, Minnie Driver, Chris O'Donnell","Drama,Romance,NONE"
4887,4887,tt0112688,Clockers,Spike Lee,Clockers,1995-01-01,128,6,22794,"Kewanna Bonaparte, Chantal Bushelle, Thomas Jefferson Byrd, Harvey Keitel","Crime,Drama,Mystery"
4888,4888,tt0112690,Clockwork Mice,Vadim Jean,Clockwork Mice,1995-01-01,100,6,325,"Vadim Jean, Ian Hart","Drama,NONE,NONE"
4889,4889,tt0112697,Clueless,Amy Heckerling,Clueless,1995-01-01,97,6,226992,"Dan Hedaya, Stacey Dash, Brittany Murphy, Alicia Silverstone","Comedy,Romance,NONE"
4890,4890,tt0112699,Planet Blue,Gur Bentwich,Ha-Kochav Hakachol,1995-01-01,86,6,138,Alon Aboutboul,"Adventure,Comedy,Drama"
4891,4891,tt0112702,Coldblooded,Wallace Wolodarsky,Coldblooded,1995-01-01,92,6,3920,"Jack S. Krevoy, Jason Priestley","Action,Comedy,Thriller"
4892,4892,tt0112704,Moon Shadow,Alberto Simone,Colpo di luna,1995-01-01,88,6,123,Tchéky Karyo,"Drama,NONE,NONE"
4893,4893,tt0112710,God's Comedy,João César Monteiro,A ComǸdia de Deus,1995-01-01,170,7,1342,"João César Monteiro, Margaret Price","Comedy,Drama,NONE"
4894,4894,tt0112714,The Confessional,Robert Lepage,Le confessionnal,1995-01-01,100,7,1615,"Denise Robert, Alain Dostie, Paul Hébert, Lothaire Bluteau","Drama,Mystery,Thriller"
4895,4895,tt0112715,Congo,Frank Marshall,Congo,1995-01-01,109,5,46859,"Seth Arnett, Shayna Fox, Tim Curry, Laura Linney","Action,Adventure,Mystery"
4896,4896,tt0112716,The Convent,Manoel de Oliveira,O Convento,1995-01-01,91,5,1046,"Agustina Bessa-Luís, Catherine Deneuve","Drama,Mystery,NONE"
4897,4897,tt0112722,Copycat,Jon Amiel,Copycat,1995-01-01,123,6,62027,"Jon Amiel, Katherine Fitzhugh, Richmond L. Aguilar, Sigourney Weaver","Drama,Mystery,Thriller"
4898,4898,tt0112724,Haircut,Joaquim Sapinho,Corte de Cabelo,1995-01-01,91,5,231,"Joaquim Sapinho, Carla Bolito","Drama,NONE,NONE"
4899,4899,tt0112732,Breach of Trust,Charles Wilkinson,Breach of Trust,1995-01-01,96,5,479,Michael Biehn,"Action,Drama,Thriller"
4900,4900,tt0112738,Criminal,Mahesh Bhatt,Criminal,1994-01-01,123,5,531,"Devadas Kanakala, Sarath Babu, Nagarjuna Akkineni","Action,Romance,Thriller"
4901,4901,tt0112740,Crimson Tide,Tony Scott,Crimson Tide,1995-01-01,116,7,116563,"Matt Craven, Dariusz Wolski, Lillo Brancato, Gene Hackman","Action,Drama,Thriller"
4902,4902,tt0112744,The Crossing Guard,Sean Penn,The Crossing Guard,1995-01-01,111,6,13973,"Michael Abelar, Randy Meadoff, Buddy Anderson, Jack Nicholson","Drama,Thriller,NONE"
4903,4903,tt0112749,"Cry, the Beloved Country",Darrell Roodt,"Cry, the Beloved Country",1995-01-01,106,6,1909,"Dambisa Kente, Abigail Kubeka, Richard Harris","Drama,Thriller,NONE"
