,Unnamed: 0,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,Crew,genre
575,575,tt0092764,Club de rencontres,Michel Lang,Club de rencontres,1987-01-01,102,5,104,"Lucette Sahuquet, Francis Perrin","Comedy,NONE,NONE"
576,576,tt0092770,Il commissario Lo Gatto,Dino Risi,Il commissario Lo Gatto,1986-01-01,91,6,737,"Renata Attivissimo, Lino Banfi","Comedy,NONE,NONE"
577,577,tt0092772,Comrades,Bill Douglas,Comrades,1986-01-01,183,7,882,"Stephen Bateman, Bill Douglas, Robin Soans, Keith Allen","Drama,History,NONE"
578,578,tt0092781,Control,Giuliano Montaldo,Il giorno prima,1987-01-01,107,5,299,"Helmut Hagen, Ben Gazzara","Drama,Thriller,NONE"
579,579,tt0092783,Cop,James B. Harris,Cop,1988-01-01,110,6,5712,"Randi Brooks, James Woods","Crime,Drama,Mystery"
580,580,tt0092784,Who's That Soldier?,Petr Tucek,Copak je to za vojÇ­ka...,1988-01-01,85,7,360,"Michal Kocourek, Pavel Hejlík, Ivo Helikar, Jirí Langmajer","Comedy,NONE,NONE"
581,581,tt0092789,Courtship,Howard Cummings,Courtship,1987-01-01,84,6,140,"Daisy Foote, Steven Hill","Drama,NONE,NONE"
582,582,tt0092791,Cowboys Don't Cry,Anne Wheeler,Cowboys Don't Cry,1988-01-01,103,7,113,"Zachary Ansley, Georgie Collins, Ron White","Drama,NONE,NONE"
583,583,tt0092794,Crazy Love,Dominique Deruddere,Crazy Love,1987-01-01,90,6,1319,"Raymond van het Groenewoud, Josse De Pauw, Dominique Deruddere","Drama,NONE,NONE"
584,584,tt0092796,Creepshow 2,Michael Gornick,Creepshow 2,1987-01-01,92,6,26795,"Page Hannah, Lois Chiles, Rick Catizone, George Kennedy","Fantasy,Horror,NONE"
585,585,tt0092797,The Cry of the Owl,Claude Chabrol,Le cri du hibou,1987-01-01,102,6,1021,"Gilles Dreu, Jacques Brunet, Christophe Malavoy","Drama,Mystery,Romance"
586,586,tt0092798,Critical Condition,Michael Apted,Critical Condition,1987-01-01,97,5,3694,Richard Pryor,"Comedy,NONE,NONE"
587,587,tt0092800,Chronicle of a Death Foretold,Francesco Rosi,Cronaca di una morte annunciata,1987-01-01,109,6,1247,"Luciano Pecoraro, Rupert Everett","Drama,NONE,NONE"
588,588,tt0092802,Cross My Heart,Armyan Bernstein,Cross My Heart,1987-01-01,90,5,1294,"Marti Muller, Martin Short","Comedy,Romance,NONE"
589,589,tt0092804,Cry Freedom,Richard Attenborough,Cry Freedom,1987-01-01,157,7,13839,"Hepburn Graham, Karen Drury, John Briley, Denzel Washington","Biography,Drama,History"
590,590,tt0092806,The Young Magician,Waldemar Dziki,Cudowne dziecko,1987-01-01,106,5,245,"Andrzej Halinski, Rusty Jedwab, Waldemar Dziki","Drama,Family,Fantasy"
591,591,tt0092809,The Curse,David Keith,The Curse,1987-01-01,92,5,3548,"Amy Wheaton, Wil Wheaton","Horror,Sci-Fi,NONE"
592,592,tt0092815,Daddy,John Herzfeld,Daddy,1987-01-01,100,5,340,"Bambi Blitz, Dermot Mulroney","Drama,NONE,NONE"
593,593,tt0092818,A Dama do Cine Shanghai,Guilherme de Almeida Prado,A Dama do Cine Shanghai,1987-01-01,115,6,270,"Guilherme de Almeida Prado, Maitê Proença","Crime,Mystery,NONE"
594,594,tt0092829,Strawman,Toon Wang,Dao cao ren,1987-01-01,94,7,295,"Toon Wang, Shaudi Wang, Chun-Fang Chang","Comedy,Drama,History"
595,595,tt0092830,Dark Age,Arch Nicholson,Dark Age,1987-01-01,91,6,1334,"Ray Meagher, Burnham Burnham, John Jarratt","Adventure,Horror,NONE"
596,596,tt0092833,The Peddler,Mohsen Makhmalbaf,Dastforoush,1987-01-01,95,6,400,NONE,"Drama,NONE,NONE"
597,597,tt0092834,Date with an Angel,Tom McLoughlin,Date with an Angel,1987-01-01,105,5,2911,"Russell Hitchcock, Tom McLoughlin, Michael E. Knight","Comedy,Fantasy,Romance"
598,598,tt0092837,Engagements of the Heart,Robert Enrico,De guerre lasse,1987-01-01,130,5,113,Nathalie Baye,"Drama,War,NONE"
599,599,tt0092841,Dead Man Walking,Gregory Dark,Dead Man Walking,1988-01-01,90,5,372,Wings Hauser,"Action,Sci-Fi,NONE"
600,600,tt0092842,Dead of Winter,Arthur Penn,Dead of Winter,1987-01-01,100,6,4329,Mary Steenburgen,"Drama,Horror,Thriller"
601,601,tt0092843,The Dead,John Huston,The Dead,1987-01-01,83,7,8442,"Tony Huston, Helena Carroll, Donal Donnelly, Anjelica Huston","Drama,NONE,NONE"
602,602,tt0092844,Witness in the War Zone,Nathaniel Gutman,Deadline,1987-01-01,100,5,527,"Etti Ankri, Christopher Walken","Action,Drama,Mystery"
603,603,tt0092848,Deadly Prey,David A. Prior,Deadly Prey,1987-01-01,88,5,3210,"Don Michaelson, Michael Holmes, Cameron Mitchell","Action,Thriller,NONE"
604,604,tt0092857,Death Wish 4: The Crackdown,J. Lee Thompson,Death Wish 4: The Crackdown,1987-01-01,99,5,10304,"Katrina Holden Bronson, Craig Curtis, Charles Bronson","Action,Crime,Drama"
605,605,tt0092858,Death of a Soldier,Philippe Mora,Death of a Soldier,1986-01-01,93,5,252,"Don Burrows, Reb Brown, Kerrie Biddell, James Coburn","Crime,Drama,War"
606,606,tt0092859,Deathrow Gameshow,Mark Pirro,Deathrow Gameshow,1987-01-01,83,5,850,"Mark Pirro, Ev Courter, Beano","Comedy,NONE,NONE"
607,607,tt0092860,Deathstalker II,Jim Wynorski,Deathstalker II,1987-01-01,85,5,3129,"Monique Gabrielle, John Terlesky","Action,Adventure,Comedy"
608,608,tt0092865,Phantom of Death,Ruggero Deodato,Un delitto poco comune,1987-01-01,90,5,963,"Renato Cortesi, Raffaella Baracchi, Michael York","Horror,Thriller,NONE"
609,609,tt0092872,Deranged,Chuck Vincent,Deranged,1987-01-01,83,5,483,Veronica Hart,"Horror,NONE,NONE"
610,610,tt0092879,Ten Little Indians,Stanislav Govorukhin,Desyat negrityat,1987-01-01,137,7,2896,"Lyudmila Maksakova, Aleksandr Kaydanovskiy, Tatyana Drubich, Vladimir Zeldin","Crime,Drama,Mystery"
611,611,tt0092880,Veronico Cruz,Miguel Pereira,La deuda interna,1988-01-01,106,7,213,NONE,"Drama,War,NONE"
612,612,tt0092884,Der Experte,Reinhard Schwabenitzky,Der Experte,1988-01-01,93,5,442,"Steven Bennett, Dieter Hallervorden","Comedy,NONE,NONE"
613,613,tt0092887,Dilan,Erden Kiral,Dilan,1987-01-01,92,6,108,"Nizamettin Ariç, Keriman Ulusoy, Derya Arbas","Drama,NONE,NONE"
614,614,tt0092890,Dirty Dancing,Emile Ardolino,Dirty Dancing,1987-01-01,100,7,240373,"Jennifer Grey, Emile Ardolino, Jerry Orbach, Patrick Swayze","Drama,Music,Romance"
615,615,tt0092896,DiscoprÇðbeh,Jaroslav Soukup,DiscoprÇðbeh,1987-01-01,82,5,292,"Jaroslav Choc, Eduard Pergner, Tatiana Kulísková, Roman Pikl","Comedy,Musical,NONE"
616,616,tt0092901,Divinas palabras,José Luis García Sánchez,Divinas palabras,1987-01-01,107,6,213,"Marisa Soto, María Barcala, Ana Belén","Drama,NONE,NONE"
617,617,tt0092904,Dogs in Space,Richard Lowenstein,Dogs in Space,1986-01-01,103,6,1310,"Peter Walsh, Michael Hutchence","Drama,NONE,NONE"
618,618,tt0092907,The Dolphin,Walter Lima Jr.,"Ele, o Boto",1987-01-01,108,5,235,Carlos Alberto Riccelli,"Drama,NONE,NONE"
619,619,tt0092922,Down Twisted,Albert Pyun,Down Twisted,1987-01-01,88,5,1061,"Joe Holland, Ana De Sade, Carey Lowell","Action,Adventure,Crime"
620,620,tt0092925,Dragnet,Tom Mankiewicz,Dragnet,1987-01-01,106,6,35480,"William Chalmers, Lisa Aliff, Alexandra Paul, Dan Aykroyd","Comedy,Crime,NONE"
621,621,tt0092929,Drowning by Numbers,Peter Greenaway,Drowning by Numbers,1988-01-01,118,7,10435,"Peter Jaques, Peter Greenaway, Bernard Hill","Comedy,Drama,NONE"
622,622,tt0092930,Drug,Leonid Kvinikhidze,Drug,1988-01-01,83,7,353,"Viktor Kremlyov, Sofya Gorshkova, Natalya Korenchenko, Igor Yasulovich","Drama,Romance,NONE"
623,623,tt0092931,Strange Place for an Encounter,François Dupeyron,DrÇïle d'endroit pour une rencontre,1988-01-01,100,6,390,"Nathalie Cardone, Catherine Deneuve","Drama,Romance,NONE"
624,624,tt0092933,Dudes,Penelope Spheeris,Dudes,1987-01-01,90,5,1585,"Marcia Darroch, Jon Cryer","Adventure,Comedy,NONE"
625,625,tt0092934,Duet for One,Andrey Konchalovskiy,Duet for One,1986-01-01,107,6,971,"Pamela Brighton, Julie Andrews","Drama,NONE,NONE"
626,626,tt0092944,Eat the Rich,Peter Richardson,Eat the Rich,1987-01-01,90,5,1498,"Simon Brint, Debbie Linden, Angie Bowie, Nosher Powell","Action,Comedy,Crime"
627,627,tt0092946,Echoes of Paradise,Phillip Noyce,Echoes of Paradise,1987-01-01,92,6,115,"Dibbs Mather, Wendy Hughes","Drama,Romance,NONE"
628,628,tt0092955,"Iron Earth, Copper Sky",Zülfü Livaneli,Yer Demir GÇôk Bakir,1987-01-01,94,6,280,Rutkay Aziz,"Drama,NONE,NONE"
629,629,tt0092964,Empire State,Ron Peck,Empire State,1987-01-01,104,5,235,"Melita Clarke, Eric Gold, Ron Peck, Cathryn Harrison","Crime,Thriller,NONE"
630,630,tt0092965,Empire of the Sun,Steven Spielberg,Empire of the Sun,1987-01-01,153,7,128898,"Hiro Arai, J.G. Ballard, Harry Cordwell, Christian Bale","Drama,War,NONE"
631,631,tt0092966,En toute innocence,Alain Jessua,En toute innocence,1988-01-01,100,6,318,"Alain Jessua, Michel Serrault","Crime,Drama,Thriller"
632,632,tt0092967,End of the Line,Jay Russell,End of the Line,1987-01-01,103,5,726,"Henderson Forsythe, Judy Benson, Robert Ginnaven, Kevin Bacon","Comedy,Drama,Romance"
633,633,tt0092969,Enemy Territory,Peter Manoogian,Enemy Territory,1987-01-01,89,6,893,"Lynnie Godfrey, Z. Wright, Gary Frank","Action,Crime,Drama"
634,634,tt0092972,Epidemic,Lars von Trier,Epidemic,1987-01-01,106,6,5655,"Svend Ali Hamann, Allan De Waal","Drama,Horror,NONE"
635,635,tt0092974,Ernest Goes to Camp,John R. Cherry III,Ernest Goes to Camp,1987-01-01,92,5,11899,"Lyle Alzado, Jim Varney, Iron Eyes Cody","Comedy,Family,NONE"
636,636,tt0092982,EspǸrame en el cielo,Antonio Mercero,EspǸrame en el cielo,1988-01-01,100,7,518,"José Luis Barceló, Román Gubern, Antonio Mercero, Pepe Soriano","Comedy,NONE,NONE"
637,637,tt0092983,La estanquera de Vallecas,Eloy de la Iglesia,La estanquera de Vallecas,1987-01-01,106,6,1249,"José Luis Alonso de Santos, Emma Penella","Comedy,Crime,Drama"
638,638,tt0092987,After Rubicon,Leidulv Risan,Etter Rubicon,1987-01-01,93,5,280,"Ewa Carlsson, Sverre Anker Ousdal","Drama,Thriller,NONE"
639,639,tt0092991,Evil Dead II,Sam Raimi,Evil Dead II,1987-01-01,84,7,169515,"Sarah Berry, Paul Harris, Bruce Campbell","Comedy,Horror,NONE"
640,640,tt0092995,What Every Frenchwoman Wants,Gianfranco Mingozzi,L'iniziazione,1986-01-01,95,5,4140,"Sergio Di Stefano, Serena Verdirosi, Gianfranco Bellini, Serena Grandi","Comedy,NONE,NONE"
641,641,tt0092997,Extreme Prejudice,Walter Hill,Extreme Prejudice,1987-01-01,105,6,8072,"Maria Conchita Alonso, Nick Nolte","Action,Crime,Drama"
642,642,tt0093004,The Family,Ettore Scola,La famiglia,1987-01-01,127,7,2375,"Carlo Dapporto, Franco Committeri, Luciano Ricceri, Vittorio Gassman","Drama,Romance,NONE"
643,643,tt0093006,Family Viewing,Atom Egoyan,Family Viewing,1987-01-01,86,6,1394,David Hemblen,"Drama,NONE,NONE"
644,644,tt0093008,The Sweet Charm of Sin,Ninì Grassia,Il fascino sottile del peccato,1987-01-01,104,5,114,"Danila Trebbi, Saverio Vallone","Drama,NONE,NONE"
645,645,tt0093010,Fatal Attraction,Adrian Lyne,Fatal Attraction,1987-01-01,119,6,90137,"Sherry Lansing, Michael Douglas, Adrian Lyne","Drama,Thriller,NONE"
646,646,tt0093011,Fatal Beauty,Tom Holland,Fatal Beauty,1987-01-01,104,5,3841,"William Martin Brennan, Jennifer Warren, Bernie Hern, Whoopi Goldberg","Action,Comedy,Crime"
647,647,tt0093029,Five Corners,Tony Bill,Five Corners,1987-01-01,90,6,3677,"Tony Bill, Jodie Foster","Crime,Drama,Thriller"
648,648,tt0093031,Burning Hearts,Helle Ryslinge,Flamberede hjerter,1986-01-01,114,6,208,"Pia Kock, Knud Dittmer, Torben Jensen, Kirsten Lehfeldt","Comedy,Romance,NONE"
649,649,tt0093036,Flowers in the Attic,Jeffrey Bloom,Flowers in the Attic,1987-01-01,93,5,10753,"Marshall Colt, Victoria Tennant, Louise Fletcher","Drama,Mystery,Thriller"
650,650,tt0093043,Delirium,Lamberto Bava,Le foto di Gioia,1987-01-01,94,5,2159,"Lionello Pio Di Savoia, Serena Grandi","Horror,Mystery,Thriller"
651,651,tt0093044,The Fourth Protocol,John Mackenzie,The Fourth Protocol,1987-01-01,119,6,10390,"Frederick Forsyth, William Parker, Johnny Allan, Michael Caine","Thriller,NONE,NONE"
652,652,tt0093049,Frenchman's Farm,Ron Way,Frenchman's Farm,1987-01-01,100,5,191,"Peter Byrne, Tui Bow, David Bradley","Adventure,Crime,Drama"
653,653,tt0093051,From the Hip,Bob Clark,From the Hip,1987-01-01,111,6,2482,"William Alspaugh, Richard Zobel, Eric Tilley, Judd Nelson","Comedy,Crime,Drama"
654,654,tt0093055,"It's a Mad, Mad, Mad World II",Clifton Ko,Fu gui zai po ren,1988-01-01,97,6,227,Bill Tung,"Comedy,NONE,NONE"
655,655,tt0093056,The Romancing Star,Jing Wong,Cheng chong chui lui chai,1987-01-01,102,6,397,Chow Yun-Fat,"Comedy,Romance,NONE"
656,656,tt0093058,Full Metal Jacket,Stanley Kubrick,Full Metal Jacket,1987-01-01,116,8,753406,"Stanley Kubrick, Christine Allsopp, Adam Baldwin, Matthew Modine","Drama,War,NONE"
657,657,tt0093059,Two Edged Knife,Murilo Salles,Faca de Dois Gumes,1989-01-01,97,6,182,"Elsa Costa, Sérgio Britto, Murilo Salles, Paulo José","Crime,Drama,NONE"
658,658,tt0093067,Gaby: A True Story,Luis Mandoki,Gaby: A True Story,1987-01-01,110,6,766,"Rachel Chagall, Paulina Gómez, Rachel Chagall","Drama,Romance,NONE"
659,659,tt0093073,Gardens of Stone,Francis Ford Coppola,Gardens of Stone,1987-01-01,111,6,5821,"Byron Trackwell, Hajna O. Moss, James Caan","Drama,Romance,War"
660,660,tt0093075,The Gate,Tibor Takács,The Gate,1987-01-01,85,6,18125,"Christa Denton, Scot Denton, Louis Tripp, Stephen Dorff","Fantasy,Horror,NONE"
661,661,tt0093077,Gde nakhoditsya Nofelet?,Gerald Bezhanov,Gde nakhoditsya Nofelet?,1988-01-01,82,6,557,"Inna Alenikova, Natalya Karpunina, Ekaterina Zhemchuzhnaya, Vladimir Menshov","Comedy,NONE,NONE"
662,662,tt0093087,Het gezin van Paemel,Paul Cammermans,Het gezin van Paemel,1986-01-01,90,6,322,"Paul Cammermans, Frank Aendenboom","Drama,History,NONE"
663,663,tt0093092,Julia and Julia,Peter Del Monte,Giulia e Giulia,1987-01-01,98,5,853,"Nino Cerruti, Kathleen Turner","Drama,Fantasy,Romance"
664,664,tt0093093,The Glass Menagerie,Paul Newman,The Glass Menagerie,1987-01-01,134,7,2135,Joanne Woodward,"Drama,NONE,NONE"
665,665,tt0093101,Twilight of the Cockroaches,Hiroaki Yoshida,Gokiburi-tachi no tasogare,1987-01-01,105,6,275,"Morgan Fisher, Kaoru Kobayashi","Animation,Drama,Horror"
666,666,tt0093105,"Good Morning, Vietnam",Barry Levinson,"Good Morning, Vietnam",1987-01-01,121,7,145414,"Adam Faith, Robin Williams, Chris Andrews","Biography,Comedy,Drama"
667,667,tt0093106,The Good Wife,Ken Cameron,The Good Wife,1987-01-01,98,5,574,"Sue Ingleton, Rachel Ward","Drama,Romance,NONE"
668,668,tt0093111,The Grand Highway,Jean-Loup Hubert,Le grand chemin,1987-01-01,104,7,1647,"Anémone, Raymonde Guyot, Vanessa Guedj, Anémone","Drama,NONE,NONE"
669,669,tt0093113,Django Strikes Again,Nello Rossati,Django 2 - Il grande ritorno,1987-01-01,88,5,1227,Franco Nero,"Western,NONE,NONE"
670,670,tt0093116,The Great Land of Small,Vojtech Jasný,The Great Land of Small,1986-01-01,93,5,282,"Nicolas Doclin, Karen Elkin","Family,Fantasy,NONE"
671,671,tt0093117,Tadpole and the Whale,Jean-Claude Lord,La grenouille et la baleine,1988-01-01,91,6,417,"Jacques Bobet, Dick Haskins, Fanny Lauzier","Adventure,Comedy,Drama"
672,672,tt0093127,Guldregn,Søren Kragh-Jacobsen,Guldregn,1988-01-01,94,6,347,"Erik Brandt Eriksen, Tania Frydenberg, Nanna Bøndergaard, Ricki Rasmussen","Crime,Family,NONE"
673,673,tt0093132,Hachi-ko,Seijirô Kôyama,HachikÇï monogatari,1987-01-01,107,8,5486,"Mako Ishino, Tatsuya Nakadai","Biography,Drama,Family"
674,674,tt0093133,King of the Children,Kaige Chen,Hai zi wang,1988-01-01,106,7,616,"Yuan Xie, Yuan Xie","Drama,NONE,NONE"
675,675,tt0093137,Hamburger Hill,John Irvin,Hamburger Hill,1987-01-01,110,6,26563,"David W. Rose, Michael Boatman, Courtney B. Vance","Action,Drama,Thriller"
676,676,tt0093139,Hamlet Goes Business,Aki Kaurismäki,Hamlet liikemaailmassa,1987-01-01,89,6,2094,"Pentti Auer, Pertti Hilkamo, Aake Kalliala, Pirkka-Pekka Petelius","Comedy,Drama,Romance"
677,677,tt0093143,The Hanoi Hilton,Lionel Chetwynd,The Hanoi Hilton,1987-01-01,125,6,1149,"Brian Demonbreun, Leo K. Thorsness, Michael Moriarty","Drama,War,NONE"
678,678,tt0093144,Hansel and Gretel,Len Talan,Hansel and Gretel,1988-01-01,84,6,1319,"Nancy Weems, David Warner","Family,Fantasy,Musical"
679,679,tt0093145,Happy New Year,John G. Avildsen,Happy New Year,1987-01-01,85,5,687,"Yoshiko Minami, Melvin Franklin, Peter Falk","Comedy,Crime,Romance"
680,680,tt0093146,Hard Ticket to Hawaii,Andy Sidaris,Hard Ticket to Hawaii,1987-01-01,96,5,4805,"Mike McKenzie, Viviane Brahms, Ronn Moss","Action,Comedy,Crime"
681,681,tt0093148,Harry and the Hendersons,William Dear,Harry and the Hendersons,1987-01-01,110,6,36872,"William Frankfather, Richard Arnold, Kevin Peter Hall, John Lithgow","Comedy,Family,Fantasy"
682,682,tt0093161,Heart,James Lemmo,Heart,1987-01-01,90,5,132,"Eric Hines, Billy Costello, Brad Davis","Drama,NONE,NONE"
683,683,tt0093165,Heat and Sunlight,Rob Nilsson,Heat and Sunlight,1987-01-01,98,5,162,"Rob Nilsson, Rob Nilsson","Drama,NONE,NONE"
684,684,tt0093169,Hector,Stijn Coninx,Hector,1987-01-01,95,6,2049,"Walter Van Den Broeck, Jean Blaute, Sylvia Millecam, Urbanus","Comedy,NONE,NONE"
685,685,tt0093170,Man Behind the Sun,Tun-Fei Mou,Hei tai yang 731,1988-01-01,105,6,6820,NONE,"Drama,History,Horror"
686,686,tt0093175,Hello Again,Frank Perry,Hello Again,1987-01-01,96,5,3652,"Susan Isaacs, Shelley Long","Comedy,Drama,Fantasy"
687,687,tt0093176,Hello Mary Lou: Prom Night II,Bruce Pittman,Hello Mary Lou: Prom Night II,1987-01-01,97,5,6786,"Lisa Schrage, Glen Gretzky, Ronnie Hawkins, Lisa Schrage","Horror,Thriller,NONE"
688,688,tt0093177,Hellraiser,Clive Barker,Hellraiser,1987-01-01,94,6,131463,"Clive Barker, Doug Bradley, Bob Keen, Andrew Robinson","Horror,Thriller,NONE"
689,689,tt0093178,Helsinki-Naples All Night Long,Mika Kaurismäki,Helsinki Napoli All Night Long,1987-01-01,105,6,691,"Dieter Dost, Kari Väänänen","Comedy,Thriller,NONE"
690,690,tt0093185,The Hidden,Jack Sholder,The Hidden,1987-01-01,97,7,20994,"Stiv Bators, Brian James, Rick Lieberman, Kyle MacLachlan","Horror,Sci-Fi,Thriller"
691,691,tt0093186,Hiding Out,Bob Giraldi,Hiding Out,1987-01-01,98,6,3945,"Anne Pitoniak, Nicky Hammerhead, Alexandra Auder, Jon Cryer","Comedy,Drama,Romance"
692,692,tt0093191,Wings of Desire,Wim Wenders,Der Himmel Ǭber Berlin,1987-01-01,128,8,72960,"Henri Alekan, Paul Busch, Wim Wenders, Bruno Ganz","Drama,Fantasy,Romance"
693,693,tt0093194,Hip Hip Hurrah!,Kjell Grede,Hip hip hurra!,1987-01-01,110,5,267,"Kjell Grede, Lene Brøndum, Stellan Skarsgård","Biography,Drama,NONE"
694,694,tt0093199,A Hungarian Fairy Tale,Gyula Gazdag,"Hol volt, hol nem volt",1987-01-01,97,6,134,"Bálint Tolmár, László Faludi, Klári Poór, Dávid Vermes","Fantasy,NONE,NONE"
695,695,tt0093200,Hollywood Shuffle,Robert Townsend,Hollywood Shuffle,1987-01-01,81,6,5958,"Ludie C. Washington, Angela Teek, Craigus R. Johnson, Robert Townsend","Comedy,NONE,NONE"
696,696,tt0093206,Red Sorghum,Yimou Zhang,Hong gao liang,1988-01-01,91,7,9407,"Guiyun Zhou, Gong Li","Drama,History,Romance"
697,697,tt0093207,Wings of Honneamise,Hiroyuki Yamaga,Ç?ritsu uchǯgun Oneamisu no tsubasa,1987-01-01,121,7,5442,"Leo Morimoto, Tatsuya Egawa, Leo Morimoto","Animation,Drama,Sci-Fi"
698,698,tt0093209,Hope and Glory,John Boorman,Hope and Glory,1987-01-01,113,7,13907,"Barbara Pierson, Ian Bannen, John Boorman, Sarah Miles","Comedy,Drama,Romance"
699,699,tt0093215,Hot Pursuit,Steven Lisberger,Hot Pursuit,1987-01-01,93,5,3835,"Rowland Gould, Steven Lisberger, John Cusack","Comedy,NONE,NONE"
700,700,tt0093220,House II: The Second Story,Ethan Wiley,House II: The Second Story,1987-01-01,88,5,11730,"Jonathan Stark, Lenora May","Comedy,Fantasy,Horror"
701,701,tt0093223,House of Games,David Mamet,House of Games,1987-01-01,102,7,23105,"Peter Hutcheson, David Mamet, Lindsay Crouse","Crime,Thriller,NONE"
702,702,tt0093225,Housekeeping,Bill Forsyth,Housekeeping,1987-01-01,116,7,2721,"Georgie Collins, Gary Pembroke Allen, Christine Lahti","Comedy,Drama,NONE"
703,703,tt0093232,Hunter's Blood,Robert Hughes,Hunter's Blood,1986-01-01,101,5,841,"Myrl A. Schreibman, Mayf Nutter, Sam Bottoms","Action,Adventure,Horror"
704,704,tt0093239,I've Heard the Mermaids Singing,Patricia Rozema,I've Heard the Mermaids Singing,1987-01-01,83,6,1844,"Paule Baillargeon, Patricia Rozema, Sheila McCarthy","Comedy,Drama,NONE"
705,705,tt0093244,Gramps Is a Great Guy!,Michel Drach,Il est gǸnial papy!,1987-01-01,92,6,108,Guy Bedos,"Comedy,NONE,NONE"
706,706,tt0093251,Stowaways on the Ark,Wolfgang Urchs,In der Arche ist der Wurm drin,1988-01-01,81,6,211,"Eberhard Storeck, Heinz Theo Branding","Adventure,Animation,Comedy"
707,707,tt0093253,In the Mood,Phil Alden Robinson,In the Mood,1987-01-01,98,6,1050,"Nan Woods, Ana Helena Berenguer, Harvey J. Goldenberg, Patrick Dempsey","Comedy,Romance,NONE"
708,708,tt0093255,The Inquiry,Damiano Damiani,L'inchiesta,1987-01-01,107,6,382,"Silvan, Silvio Clementelli, Keith Carradine","Crime,Drama,Mystery"
709,709,tt0093258,Rouge,Stanley Kwan,Yim ji kau,1987-01-01,96,7,2991,"Stanley Kwan, Siu-Tin Lai, Alex Man, Leslie Cheung","Drama,Fantasy,Music"
710,710,tt0093260,Innerspace,Joe Dante,Innerspace,1987-01-01,120,6,62224,"Henry Gibson, Robert Picardo, Orson Bean, Dennis Quaid","Action,Adventure,Comedy"
711,711,tt0093261,Les innocents,André Téchiné,Les innocents,1987-01-01,96,6,295,Sandrine Bonnaire,"Drama,NONE,NONE"
712,712,tt0093267,Intervista,Federico Fellini,Intervista,1987-01-01,107,7,3000,"Ibrahim Moussa, Francesca Reggiani, Sergio Rubini","Comedy,Drama,Fantasy"
713,713,tt0093274,Io e mia sorella,Carlo Verdone,Io e mia sorella,1987-01-01,110,6,690,"Galeazzo Benti, Carlo Verdone","Comedy,NONE,NONE"
714,714,tt0093277,Ironweed,Hector Babenco,Ironweed,1987-01-01,143,6,9473,"Sean Hepburn Ferrer, Jake Dengel, James Dukas, Jack Nicholson","Drama,NONE,NONE"
715,715,tt0093284,It Couldn't Happen Here,Jack Bond,It Couldn't Happen Here,1987-01-01,86,6,771,"Roger Pomphrey, Jack Bond, Joss Ackland","Adventure,Drama,Musical"
716,716,tt0093290,"Farewell, Mr. President",Matti Kassila,JÇÏÇÏhyvÇÏiset presidentille,1987-01-01,87,6,338,"Markku Huhtamo, Anja Jaakkola, Hannu Lauri","Crime,Thriller,NONE"
717,717,tt0093291,How Poets Are Enjoying Their Lives,Dusan Klein,Jak bÇ­snÇðkum chutnÇ­ zivot,1988-01-01,102,7,426,"Zlata Adamovská, Míla Myslíková, Karel Cernoch, Pavel Kríz","Comedy,NONE,NONE"
718,718,tt0093293,Jalwa,Pankaj Parashar,Jalwa,1987-01-01,134,6,178,"Cyrus Broacha, Naseeruddin Shah","Action,Comedy,Crime"
719,719,tt0093295,Jane B. for Agnes V.,Agnès Varda,Jane B. par AgnÇùs V.,1988-01-01,99,7,959,Jane Birkin,"Biography,Fantasy,NONE"
720,720,tt0093297,Jarrapellejos,Antonio Giménez Rico,Jarrapellejos,1988-01-01,90,6,108,"Florinda Chico, Antonio Giménez Rico, Antonio Ferrandis","Drama,NONE,NONE"
721,721,tt0093302,Jenatsch,Daniel Schmid,Jenatsch,1987-01-01,97,6,100,NONE,"Drama,Fantasy,NONE"
722,722,tt0093304,Prison on Fire,Ringo Lam,Gam yuk fung wan,1987-01-01,98,7,3044,"Roy Cheung, Fui-On Shing, Chow Yun-Fat","Action,Crime,Drama"
723,723,tt0093305,Flaming Brothers,Tung Cho 'Joe' Cheung,Gong woo lung foo dau,1987-01-01,99,6,648,Chow Yun-Fat,"Action,Crime,Romance"
724,724,tt0093306,Rich and Famous,Taylor Wong,Gong woo ching,1987-01-01,104,6,686,Alan Tam,"Action,Crime,Drama"
725,725,tt0093308,New Mr. Vampire,Billy Chan,Geung see fan sang,1986-01-01,84,5,104,NONE,"Comedy,Horror,NONE"
726,726,tt0093309,The Ultimate Vampire,Andrew Lau,Jiang shi zhi zun,1991-01-01,88,6,171,Ching-Ying Lam,"Comedy,Horror,NONE"
727,727,tt0093311,Jim & Piraterna Blom,Hans Alfredson,Jim & piraterna Blom,1987-01-01,92,6,381,"Rolf Adolfsson, Jerri Bergström, Börje Norrman","Adventure,Comedy,Family"
728,728,tt0093317,John and the Missus,Gordon Pinsent,John and the Missus,1987-01-01,100,7,107,"Michael Wade, Roland Hewgill, Gordon Pinsent","Biography,Drama,NONE"
729,729,tt0093323,Manuela's Loves,Geneviève Lefebvre,Le jupon rouge,1987-01-01,90,5,126,"Geneviève Lefebvre, Marie-Christine Barrault","Drama,NONE,NONE"
730,730,tt0093333,Kamikazen: Ultima notte a Milano,Gabriele Salvatores,Kamikazen: Ultima notte a Milano,1988-01-01,92,6,395,"Bruno Pagni, Paolo Rossi","Comedy,NONE,NONE"
