,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,genre 2,genre 3,Crew
62,tt0090266,A Virus Knows No Morals,Rosa von Praunheim,Ein Virus kennt keine Moral,1986-01-01,84.0,5.7,140.0,Comedy,Drama,Sci-Fi,"Tima die Göttliche, Hella von Sinnen"
63,tt0090271,Wolf's Hole,Vera Chytilová,Vlci bouda,1987-01-01,92.0,6.4,587.0,Adventure,Drama,Horror,"Jaromír Sofr, Michael Kocáb, Nina Divísková, Miroslav Machácek"
64,tt0090282,Vyyti zamuzh za kapitana,Vitaliy Melnikov,Vyyti zamuzh za kapitana,1986-01-01,90.0,6.6,179.0,Comedy,Romance,NONE,"Tatyana Rudina, Boris Liznev, Nikita Mikhaylovsky, Vera Glagoleva"
65,tt0090302,The Legend of Wisely,Teddy Robin Kwan,Wai Si-Lei chuen kei,1987-01-01,90.0,6.1,387.0,Action,Adventure,Sci-Fi,"Alan Ko, Eva Cobo, Samuel Hui"
66,tt0090315,When the Wind Blows,Jimmy T. Murakami,When the Wind Blows,1986-01-01,84.0,7.7,11636.0,Animation,Drama,War,"James Russell, Raymond Briggs"
67,tt0090327,Witchboard,Kevin Tenney,Witchboard,1986-01-01,98.0,5.6,7488.0,Horror,Mystery,Thriller,"Kevin Tenney, Rose Marie, Tawny Kitaen, Todd Allen"
68,tt0090336,Wohin und zurǬck - Teil 3: Welcome in Vienna,Axel Corti,Wohin und zurǬck - Teil 3: Welcome in Vienna,1986-01-01,127.0,7.4,180.0,Drama,NONE,NONE,"Hubert Mann, Axel Corti, Gabriel Barylli"
69,tt0090375,Zmeelov,Vadim Derbenyov,Zmeelov,1986-01-01,97.0,6.0,101.0,Crime,Drama,NONE,"B. Bostryakov, Aleksandr Mikhaylov"
70,tt0090554,38,Wolfgang Glück,38,1986-01-01,97.0,6.2,172.0,Drama,NONE,NONE,"Undine Brixner, Tanja von Oertzen, Tobias Engel"
71,tt0090555,Crocodile Dundee,Peter Faiman,Crocodile Dundee,1986-01-01,97.0,6.6,109321.0,Action,Adventure,Comedy,"Paul Hogan, Phil Judd, Anne Carlisle, Paul Hogan"
72,tt0090556,"night, Mother",Tom Moore,"night, Mother",1986-01-01,96.0,7.6,2422.0,Drama,NONE,NONE,"Michael Kenworthy, Marsha Norman, Sissy Spacek"
73,tt0090557,Round Midnight,Bertrand Tavernier,Round Midnight,1986-01-01,133.0,7.4,5541.0,Drama,Music,NONE,"Bobby Hutcherson, Bruno de Keyzer, Dexter Gordon"
74,tt0090561,27 horas,Montxo Armendáriz,27 horas,1986-01-01,81.0,6.3,916.0,Drama,NONE,NONE,"Martxelo Rubio, Martxelo Rubio"
75,tt0090563,Betty Blue,Jean-Jacques Beineix,37¶ø2 le matin,1986-01-01,119.0,7.3,22238.0,Drama,Romance,NONE,"Jean-Jacques Beineix, Jean-Hugues Anglade, Claude Aufaure"
76,tt0090564,3:15 the Moment of Truth,Larry Gross,03:15,1986-01-01,86.0,5.6,754.0,Crime,Drama,Thriller,Adam Baldwin
77,tt0090565,Four Adventures of Reinette and Mirabelle,Éric Rohmer,4 aventures de Reinette et Mirabelle,1987-01-01,99.0,7.5,3198.0,Comedy,Drama,Romance,"Joëlle Miquel, Ronan Girre, Jean-Claude Brisseau"
78,tt0090567,52 Pick-Up,John Frankenheimer,52 Pick-Up,1986-01-01,110.0,6.4,6440.0,Crime,Drama,Thriller,"Robert Trebor, Debra Satell, Roy Scheider"
79,tt0090568,8 Million Ways to Die,Hal Ashby,8 Million Ways to Die,1986-01-01,115.0,5.7,5507.0,Action,Crime,Drama,"Christa Denton, Lawrence Block, Jeff Bridges"
80,tt0090570,84 Charing Cross Road,David Hugh Jones,84 Charing Cross Road,1987-01-01,100.0,7.4,10520.0,Biography,Drama,Romance,"Eleanor David, Judy Courtney, Ronn Carroll, Anne Bancroft"
81,tt0090575,Aakhree Raasta,Bhagyaraj,Aakhree Raasta,1986-01-01,164.0,7.1,1496.0,Action,Crime,Drama,"Bhagyaraj, Amitabh Bachchan"
82,tt0090576,The Assault,Fons Rademakers,De aanslag,1986-01-01,141.0,7.2,3311.0,Drama,History,Romance,"Jurriaan Andriessen, Edda Barends, Tabe Bas, Derek de Lint"
83,tt0090578,Abducted,Boon Collins,Abducted,1986-01-01,90.0,5.1,308.0,Drama,Thriller,NONE,Dan Haggerty
84,tt0090579,Voyeur,Alex van Warmerdam,Abel,1986-01-01,100.0,7.5,2434.0,Comedy,NONE,NONE,"Jan-Willem Hees, Alex van Warmerdam"
85,tt0090583,About Last Night,Edward Zwick,About Last Night...,1986-01-01,113.0,6.2,16546.0,Comedy,Drama,Romance,"Karla Bonoff, Paul Davis, Dawn Arnemann, Rob Lowe"
86,tt0090585,Absolute Beginners,Julien Temple,Absolute Beginners,1986-01-01,108.0,5.6,3548.0,Drama,Musical,Romance,"Richard Burridge, Gerry Alexander, Patsy Kensit"
87,tt0090601,Aladdin,Bruno Corbucci,Superfantagenio,1986-01-01,96.0,5.3,3402.0,Adventure,Comedy,Fantasy,"Julian Voloshin, Diamy Spencer, Bud Spencer"
88,tt0090605,Aliens,James Cameron,Aliens,1986-01-01,137.0,8.4,727915.0,Action,Adventure,Sci-Fi,"Jenette Goldstein, Bill Paxton, Lance Henriksen, Sigourney Weaver"
89,tt0090610,The Children of Noisy Village,Lasse Hallström,Alla vi barn i Bullerbyn,1986-01-01,87.0,6.7,2258.0,Family,NONE,NONE,"Peter Dywik, Tove Edfeldt, Ellen Demérus"
90,tt0090611,Allah-Rakha,Ketan Desai,Allah-Rakha,1986-01-01,160.0,5.3,167.0,Action,Drama,NONE,Jackie Shroff
91,tt0090634,Report to Mother,John Abraham,Amma Ariyan,1986-01-01,115.0,7.3,209.0,Drama,NONE,NONE,John Abraham
92,tt0090636,El amor brujo,Carlos Saura,El amor brujo,1986-01-01,100.0,7.0,930.0,Drama,Music,NONE,"María Pagés, Antonio Gades, Cristina Hoyos"
93,tt0090637,Amorosa,Mai Zetterling,Amorosa,1986-01-01,117.0,5.7,207.0,Biography,Drama,NONE,"Bissa Abelli, Curt Hilfon, Johan Schildt, Stina Ekblad"
94,tt0090644,Anguish,Bigas Luna,Angustia,1987-01-01,86.0,6.7,4034.0,Horror,Thriller,NONE,"Gilbert Price, Bigas Luna, Zelda Rubinstein"
95,tt0090648,Anne Trister,Léa Pool,Anne Trister,1986-01-01,103.0,7.2,293.0,Drama,NONE,NONE,"Pierre Mignot, Lucie Laurier"
96,tt0090655,April Fool's Day,Fred Walton,April Fool's Day,1986-01-01,89.0,6.1,17400.0,Horror,Mystery,NONE,"Jay Baker, Lloyd Berry, Tom Heaton, Deborah Foreman"
97,tt0090658,Arion,Yoshikazu Yasuhiko,Arion,1986-01-01,118.0,6.4,403.0,Action,Adventure,Animation,"Yoshikazu Yasuhiko, Shigeru Nakahara"
98,tt0090659,Armed Response,Fred Olen Ray,Armed Response,1986-01-01,86.0,5.0,734.0,Action,Crime,Thriller,"Lois Hamilton, Brad Arrington, Stephen Carter, David Carradine"
99,tt0090660,Armed and Dangerous,Mark L. Lester,Armed and Dangerous,1986-01-01,88.0,5.7,12171.0,Action,Comedy,Crime,"Robert Gray, Christine Dupree, Wilson Camp, John Candy"
100,tt0090665,Halfaouine: Boy of the Terraces,Férid Boughedir,Asfour Stah,1990-01-01,98.0,6.7,1676.0,Comedy,Drama,NONE,"Fatma Ben Saïdane, Mustapha Adouani"
101,tt0090670,At Close Range,James Foley,At Close Range,1986-01-01,111.0,6.9,16734.0,Crime,Drama,NONE,"James Foley, Bob McDivitt, Marshall Fallwell Jr., Sean Penn"
102,tt0090671,Attention bandits!,Claude Lelouch,Attention bandits!,1987-01-01,111.0,6.3,356.0,Drama,NONE,NONE,Jean Yanne
103,tt0090677,Avanti Popolo,Rafi Bukai,Avanti Popolo,1986-01-01,84.0,7.6,400.0,Drama,War,NONE,"Rafi Bukai, Salim Daw"
104,tt0090678,Avenging Force,Sam Firstenberg,Avenging Force,1986-01-01,104.0,5.8,3068.0,Action,Drama,Thriller,"Loren Farmer, Ramon Olavarietta, Becki Davis"
105,tt0090679,Year of Enlightment,Fernando Trueba,El aÇño de las luces,1986-01-01,105.0,6.8,1083.0,Comedy,Drama,History,"Violeta Cela, Ángel Muñoz Alonso, Jorge Sanz"
106,tt0090684,Bach et Bottine,André Melançon,Bach et Bottine,1986-01-01,96.0,6.6,539.0,Comedy,Drama,Family,"Maryse Cartwright, Mahée Paiement"
107,tt0090685,Back to School,Alan Metter,Back to School,1986-01-01,96.0,6.6,34010.0,Comedy,Romance,Sport,"Terry Farrell, Adrienne Barbeau, David Rawlins, Rodney Dangerfield"
108,tt0090686,Backlash,Bill Bennett,Backlash,1986-01-01,89.0,5.8,176.0,Crime,Drama,NONE,"Bill Bennett, David Argue"
109,tt0090689,Ballad of dog beach,José Fonseca e Costa,Balada da Praia dos Cǜes,1987-01-01,100.0,6.3,220.0,Crime,Drama,Mystery,"Tony Morgon, Pedro Bandeira-Freire, Assumpta Serna"
110,tt0090693,Band of the Hand,Paul Michael Glaser,Band of the Hand,1986-01-01,109.0,6.2,3074.0,Action,Crime,Drama,"Marcy Carriker, Leo Garen, Howie Epstein, Stephen Lang"
111,tt0090700,Early Spring,Astrid Henning-Jensen,Barndommens gade,1986-01-01,90.0,6.2,409.0,Drama,NONE,NONE,"Per Sessingø, Eva Madsen, Litten Hansen, Sofie Gråbøl"
112,tt0090710,Belizaire the Cajun,Glen Pitre,Belizaire the Cajun,1986-01-01,103.0,6.5,475.0,Drama,History,Romance,"Ernie Vincent, Loulan Pitre, Glen Pitre, Armand Assante"
113,tt0090713,The Best of Times,Roger Spottiswoode,The Best of Times,1986-01-01,104.0,6.0,7722.0,Comedy,Drama,Sport,"Vister Hayes, Norm Schachter, Robin Williams"
114,tt0090722,The Ghost Snatchers,Ngai Choi Lam,Bi gui zhuo,1986-01-01,89.0,6.0,130.0,Comedy,Fantasy,Horror,"Joyce Godenzi, Michael Wai-Man Chan"
115,tt0090725,The Beginning,Salah Abouseif,Al-Bidaya,1986-01-01,123.0,7.5,432.0,Comedy,Drama,Fantasy,Hamdy Ahmed
116,tt0090728,Big Trouble in Little China,John Carpenter,Big Trouble in Little China,1986-01-01,99.0,7.2,145317.0,Action,Adventure,Comedy,"Keith Barish, Lia Chang, J. Barry Herron, Kurt Russell"
117,tt0090729,Biggles: Adventures in Time,John Hough,Biggles,1986-01-01,108.0,5.6,3177.0,Adventure,Family,Sci-Fi,"Francesca Gonshaw, Marcus Gilbert, John Hough"
118,tt0090730,Billy Galvin,John Gray,Billy Galvin,1986-01-01,99.0,6.4,101.0,Drama,NONE,NONE,Karl Malden
119,tt0090734,Black Mic Mac,Thomas Gilou,Black Mic Mac,1986-01-01,93.0,5.3,278.0,Comedy,NONE,NONE,"Éric Nonn, Thomas Gilou, Ray Lema, Jacques Villeret"
120,tt0090735,Black Moon Rising,Harley Cokeliss,Black Moon Rising,1986-01-01,100.0,5.5,6213.0,Action,Crime,Thriller,"Eduardo Paolozzi, Polly Burson, Dalton Cathey, Tommy Lee Jones"
121,tt0090738,Black Widow,Bob Rafelson,Black Widow,1987-01-01,102.0,6.4,10332.0,Crime,Drama,Thriller,"Richard Arnold, Debra Winger"
122,tt0090756,Blue Velvet,David Lynch,Blue Velvet,1986-01-01,120.0,7.7,204474.0,Crime,Drama,Mystery,"Laura Dern, Julee Cruise, Dennis Hopper, Isabella Rossellini"
123,tt0090760,Bolek i Lolek na Dzikim Zachodzie,Stanislaw Dülz,Bolek i Lolek na Dzikim Zachodzie,1986-01-01,95.0,6.3,217.0,Adventure,Animation,Western,"Stanislaw Dülz, Alfred Ledwig, Piotr Fronczewski"
124,tt0090763,The Corruption,Salvatore Samperi,La bonne,1986-01-01,82.0,5.5,558.0,Drama,Romance,NONE,"Florence Guérin, Florence Guérin"
125,tt0090767,The Boss' Wife,Ziggy Steinberg,The Boss' Wife,1986-01-01,83.0,5.0,627.0,Comedy,NONE,NONE,Daniel Stern
126,tt0090768,The Boy Who Could Fly,Nick Castle,The Boy Who Could Fly,1986-01-01,114.0,6.5,6257.0,Drama,Fantasy,Romance,"Nick Castle, Lucy Deakins"
127,tt0090769,The Boy in Blue,Charles Jarrott,The Boy in Blue,1986-01-01,100.0,5.3,1303.0,Biography,Drama,Sport,"William Beeton, Nicolas Cage"
128,tt0090773,Bridge to Nowhere,Ian Mune,Bridge to Nowhere,1986-01-01,86.0,5.2,267.0,Drama,Horror,Thriller,Shirley Gruar
129,tt0090774,Brighton Beach Memoirs,Gene Saks,Brighton Beach Memoirs,1986-01-01,108.0,6.8,3741.0,Comedy,NONE,NONE,"Stacey Glick, Brian Drillinger, Blythe Danner"
130,tt0090778,BrÇôderna Mozart,Suzanne Osten,BrÇôderna Mozart,1986-01-01,109.0,6.0,375.0,Comedy,Drama,Music,"Roger Andersson, Elisabeth Erikson, Etienne Glaser"
131,tt0090779,Bullies,Paul Lynch,Bullies,1986-01-01,96.0,5.3,541.0,Action,Drama,Thriller,"Beth Amos, Dehl Berti, Bernie Coulson, Jonathan Crombie"
132,tt0090781,The Bus,Yadollah Samadi,Otoboos,1986-01-01,112.0,6.5,145.0,Comedy,Drama,NONE,"Hadi Eslami, Hadi Eslami"
133,tt0090784,Cactus,Paul Cox,Cactus,1986-01-01,93.0,6.2,231.0,Drama,Romance,NONE,"Robert Menzies, Isabelle Huppert"
134,tt0090798,Caravaggio,Derek Jarman,Caravaggio,1986-01-01,93.0,6.5,6467.0,Biography,Drama,History,"Lol Coxhill, Emile Nicolaou"
135,tt0090800,The House of the Blue Shadows,Beppe Cino,La casa del buon ritorno,1986-01-01,90.0,5.8,101.0,Horror,Mystery,Thriller,NONE
136,tt0090805,Il caso Moro,Giuseppe Ferrara,Il caso Moro,1986-01-01,110.0,7.1,460.0,Crime,Drama,History,"Enrica Maria Modugno, Gian Maria Volontè"
137,tt0090812,Chameli Ki Shaadi,Basu Chatterjee,Chameli Ki Shaadi,1986-01-01,136.0,7.5,1734.0,Comedy,Drama,Romance,Anil Kapoor
138,tt0090815,Charlotte for Ever,Serge Gainsbourg,Charlotte for Ever,1986-01-01,94.0,5.5,779.0,Comedy,Drama,NONE,"Anne Zamberlan, Charlotte Gainsbourg"
139,tt0090830,Children of a Lesser God,Randa Haines,Children of a Lesser God,1986-01-01,119.0,7.2,17741.0,Drama,Romance,NONE,"María Cellario, Linda Bove, William D. Byrd, William Hurt"
140,tt0090834,The Octopuses from the Second Floor,Jindrich Polák,Chobotnice z druhǸho patra,1987-01-01,92.0,6.9,357.0,Animation,Comedy,Family,NONE
141,tt0090836,Choke Canyon,Charles Bail,Choke Canyon,1986-01-01,94.0,5.2,296.0,Action,Sci-Fi,NONE,"Ovidio G. Assonitis, Charles Bail, Stephen Collins"
142,tt0090840,The Christmas Star,Alan Shapiro,The Christmas Star,1986-01-01,94.0,6.2,726.0,Drama,Family,NONE,"Renee D'Aoust, Edward Asner"
143,tt0090845,Wild Pigeon,Sergey Solovyov,Chuzhaya belaya i ryaboy,1986-01-01,100.0,6.9,181.0,Drama,NONE,NONE,"Marksen Gaukhman-Sverdlov, German Shopp"
144,tt0090848,The Clan of the Cave Bear,Michael Chapman,The Clan of the Cave Bear,1986-01-01,98.0,5.4,6724.0,Adventure,Drama,Fantasy,"Joey Cramer, John Doolittle, Lou Fant, Daryl Hannah"
145,tt0090851,The Climb,Donald Shebib,The Climb,1986-01-01,90.0,7.1,108.0,Adventure,NONE,NONE,"Richard Leiterman, Guy Bannerman, Bruce Greenwood"
146,tt0090852,Clockwise,Christopher Morahan,Clockwise,1986-01-01,96.0,6.6,13218.0,Comedy,NONE,NONE,"Nadia Sawalha, Ann Way, Dickie Arnold, John Cleese"
