,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
5659,tt0116621,In Love and War,Richard Attenborough,In Love and War,1996-01-01,113,5,8885,Biography,"Lauren Booth, Ingrid Lacey, Avery Saltzman, Sandra Bullock"
5660,tt0116629,Independence Day,Roland Emmerich,Independence Day,1996-01-01,145,7,583606,Action,"Will Smith, Vivica A. Fox, Jeff Goldblum, Will Smith"
5661,tt0116630,Indian,S. Shankar,Indian,1996-01-01,185,8,13056,Action,"Senthil, Sukanya, Kamal Haasan"
5663,tt0116635,Infinity,Matthew Broderick,Infinity,1996-01-01,119,6,1909,Biography,"Richard Feynman, Matthew Broderick"
5665,tt0116650,Irma Vep,Olivier Assayas,Irma Vep,1996-01-01,99,7,8689,Comedy,"Nathalie Boutefeu, Dominique Faysse, Nicolas Giraudi, Maggie Cheung"
5667,tt0116661,It's in the Water,Kelli Herd,It's in the Water,1997-01-01,100,6,1745,Comedy,"Larry Randolph, John Addington, Keri Jo Chapman"
5669,tt0116669,Jack,Francis Ford Coppola,Jack,1996-01-01,113,5,61887,Comedy,"Todd Bosley, Irwin Corey, Juan Escovedo, Robin Williams"
5672,tt0116676,The Jaguar,Francis Veber,Le jaguar,1996-01-01,100,5,4588,Adventure,Jean Reno
5673,tt0116681,Body Troopers,Vibeke Idsøe,Jakten pǾ nyresteinen,1996-01-01,91,5,1101,Adventure,"Are Syvertsen, Lage Fosheim"
5674,tt0116684,Jane Eyre,Franco Zeffirelli,Jane Eyre,1996-01-01,112,6,9870,Drama,"Miranda Forbes, Chris Larkin, Golda Broderick, William Hurt"
5675,tt0116690,Jeet,Raj Kanwar,Jeet,1996-01-01,180,5,2460,Action,Sunny Deol
5676,tt0116692,Beyond Silence,Caroline Link,Jenseits der Stille,1996-01-01,109,7,4490,Drama,"Franz Hanfstingl, Jakob Claussen, Carmen Härdle, Sylvie Testud"
5677,tt0116695,Jerry Maguire,Cameron Crowe,Jerry Maguire,1996-01-01,139,7,273567,Comedy,"Jay Mohr, Tom Cruise, Renée Zellweger"
5678,tt0116696,Jerusalem,Bille August,Jerusalem,1996-01-01,168,6,1522,Drama,"Katherine Kellgren, Mats Dahlbäck, Lasse Almebäck, Maria Bonnevie"
5680,tt0116704,First Strike,Stanley Tong,Ging chaat goo si 4: Gaan dan yam mo,1996-01-01,107,6,21550,Action,"Leeza Vinnichenko, Jackson Lou, Nonna Grishaeva, Jackie Chan"
5681,tt0116705,Jingle All the Way,Brian Levant,Jingle All the Way,1996-01-01,89,5,108828,Adventure,"Jake Lloyd, Robert Conrad, Spencer Klein, Arnold Schwarzenegger"
5683,tt0116714,Johns,Scott Silver,Johns,1996-01-01,96,6,1785,Drama,David Arquette
5686,tt0116722,Jude,Michael Winterbottom,Jude,1996-01-01,123,6,10814,Drama,"Adrian Bower, James Daley, Howard Arundel, Christopher Eccleston"
5688,tt0116729,The Dress,Alex van Warmerdam,De jurk,1996-01-01,103,7,2021,Comedy,"Ramdew Krishna, Henri Garcin"
5689,tt0116731,The Juror,Brian Gibson,The Juror,1996-01-01,118,5,19274,Crime,"Ken Gerson, Denise Burse, Demi Moore"
5691,tt0116736,The Hunters,Kjell Sundvall,JÇÏgarna,1996-01-01,113,7,8957,Crime,"Lennart Jähkel, Sara Arnia, Rolf LassgÃ¥rd, Rolf Lassgård"
5692,tt0116739,How the War Started on My Island,Vinko Bresan,Kako je poceo rat na mom otoku,1996-01-01,97,7,2815,Comedy,"Vinko Bresan, Senka Bulic, Vlatko Dulic"
5695,tt0116743,Kama Sutra: A Tale of Love,Mira Nair,Kama Sutra: A Tale of Love,1996-01-01,117,6,10948,Crime,"Iqbal Bano, Indira Varma, Naveen Andrews"
5696,tt0116745,Kansas City,Robert Altman,Kansas City,1996-01-01,116,6,5131,Crime,"Geri Allen, Buck Baker, Harry Belafonte, Jennifer Jason Leigh"
5700,tt0116752,Drifting Clouds,Aki Kaurismäki,Kauas pilvet karkaavat,1996-01-01,97,7,8015,Comedy,"Pauli Granfelt, Rauli Somerjoki, Minna Aaltonen, Kati Outinen"
5701,tt0116754,Prisoner of the Mountains,Sergei Bodrov,Kavkazskiy plennik,1996-01-01,99,7,4610,Drama,"Boris Giller, Susanna Mekhraliyeva, Oleg Menshikov"
5702,tt0116762,Keys to Tulsa,Leslie Greif,Keys to Tulsa,1997-01-01,113,5,1745,Crime,"Randy Graff, Joan Arenstein, Eric Stoltz"
5703,tt0116763,Khamoshi the Musical,Sanjay Leela Bhansali,Khamoshi: The Musical,1996-01-01,160,7,4475,Drama,"Manisha Koirala, Seema Biswas, Sutapa Sikdar, Manisha Koirala"
5704,tt0116767,Kids Return,Takeshi Kitano,Kizzu ritǽn,1996-01-01,107,7,6427,Crime,"Ken Kaneko, Masanobu Andô, Hiromi Kikai, Ken Kaneko"
5705,tt0116768,Kids in the Hall: Brain Candy,Kelly Makin,Kids in the Hall: Brain Candy,1996-01-01,89,6,9276,Comedy,"Jason Barr, Jason D'Addario, Scott Thompson, David Foley"
5707,tt0116790,Kolya,Jan Sverák,Kolja,1996-01-01,105,7,15811,Comedy,"Lena Birková, Zdenek Sverák, Miriam Chytilová, Zdenek Sverák"
