,tconst,primaryTitle,Directors,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre 1,Crew
2834,tt0102494,My Own Private Idaho,Gus Van Sant,My Own Private Idaho,1991-01-01,104,7,58501,Drama,"Chiara Caselli, Sally Curtice, Eric Alan Edwards, River Phoenix"
2836,tt0102500,Mystery Date,Jonathan Wacks,Mystery Date,1991-01-01,97,6,3229,Comedy,"Candy Dulfer, Ethan Hawke"
2838,tt0102510,The Naked Gun 2¶«: The Smell of Fear,David Zucker,The Naked Gun 2¶«: The Smell of Fear,1991-01-01,85,6,116547,Comedy,"George Kennedy, Zsa Zsa Gabor, Priscilla Presley, Leslie Nielsen"
2839,tt0102511,Naked Lunch,David Cronenberg,Naked Lunch,1991-01-01,115,6,53511,Drama,"Robert A. Silverman, Monique Mercure, Peter Weller"
2844,tt0102517,Necessary Roughness,Stan Dragoti,Necessary Roughness,1991-01-01,108,6,12486,Comedy,"Roger Craig, Jerry Rice, Ben Davidson, Scott Bakula"
2847,tt0102522,Nekromantik 2,Jörg Buttgereit,Nekromantik 2,1991-01-01,104,5,3901,Horror,"Käthe Kruse, Beatrice Manowski"
2849,tt0102526,New Jack City,Mario Van Peebles,New Jack City,1991-01-01,97,6,36767,Action,"Andy Duppin, Judd Nelson, Ice-T, Wesley Snipes"
2850,tt0102536,Night on Earth,Jim Jarmusch,Night on Earth,1991-01-01,129,7,62318,Comedy,"Matti Pellonpää, Rosie Perez, Richard Boes, Winona Ryder"
2853,tt0102555,Not Without My Daughter,Brian Gilbert,Not Without My Daughter,1991-01-01,116,6,13856,Drama,"Ya'ackov Banai, Sarah Badel, Avraham Mor, Sally Field"
2855,tt0102558,Nothing But Trouble,Dan Aykroyd,Nothing But Trouble,1991-01-01,94,5,26044,Comedy,"Sacha Distel, Dan Aykroyd, Chevy Chase"
2857,tt0102562,Robotrix,Jamie Luk,Nu ji xie ren,1991-01-01,98,5,1079,Action,Amy Yip
2859,tt0102571,The Elementary School,Jan Sverák,ObecnÇ­ skola,1991-01-01,100,7,3102,Adventure,"Karel Kmoch, Radoslav Budác, Jan Tríska"
2860,tt0102573,The Object of Beauty,Michael Lindsay-Hogg,The Object of Beauty,1991-01-01,103,5,2203,Comedy,"Barry J. Gordon, John Malkovich"
2862,tt0102579,Den ofrivillige golfaren,Lasse Åberg,Den ofrivillige golfaren,1991-01-01,107,5,4702,Comedy,"Sydney Coulson, Ulf Eklund, Mats Bergman, Lasse Åberg"
2863,tt0102583,"Olivier, Olivier",Agnieszka Holland,"Olivier, Olivier",1992-01-01,110,7,1810,Adventure,"Grégoire Colin, Madeleine Marie, Faye Gatteau, Brigitte Roüan"
2864,tt0102587,Only Yesterday,Isao Takahata,Omohide poro poro,1991-01-01,119,7,33961,Animation,"Yoko Honna, Yoshifumi Kondô, Harumi Miyako, Miki Imai"
2866,tt0102590,Once Around,Lasse Hallström,Once Around,1991-01-01,115,6,4989,Comedy,"Gerald A. Benullo, Joan Gay, Richard Dreyfuss"
2867,tt0102592,One False Move,Carl Franklin,One False Move,1992-01-01,105,7,12456,Crime,"Miles A. Copeland III, Cynda Williams, Phyllis Kirklin, Bill Paxton"
2868,tt0102593,One Good Cop,Heywood Gould,One Good Cop,1991-01-01,114,5,4350,Action,"Cora Lee Day, Ed Deacy, Heywood Gould, Michael Keaton"
2870,tt0102598,Only the Lonely,Chris Columbus,Only the Lonely,1991-01-01,104,6,11742,Comedy,"Michael W. Nash, Sandra Macat, Bernie Landis, John Candy"
2871,tt0102603,Oscar,John Landis,Oscar,1991-01-01,109,6,32932,Comedy,"James J. Casino, Ornella Muti, Elizabeth Barondes, Sylvester Stallone"
2873,tt0102609,Other People's Money,Norman Jewison,Other People's Money,1991-01-01,103,6,9106,Comedy,"William De Acutis, Danny DeVito"
2874,tt0102614,Out for Justice,John Flynn,Out for Justice,1991-01-01,91,6,24714,Action,"Ed Deacy, Benedetto Bongiorno, Jo Champa, Steven Seagal"
2876,tt0102631,Paradise,Mary Agnes Donoghue,Paradise,1991-01-01,111,6,3020,Drama,"Lucy Alpaugh, Melanie Griffith"
2877,tt0102636,Parinda,Vidhu Vinod Chopra,Parinda,1989-01-01,154,7,3541,Action,"Dilip Kulkarni, Sathaar, Jackie Shroff"
2878,tt0102638,Paris Trout,Stephen Gyllenhaal,Paris Trout,1991-01-01,100,6,1599,Drama,"Frank Konigsberg, Dennis Hopper"
2880,tt0102645,Patthar Ke Phool,Anant Balani,Patthar Ke Phool,1991-01-01,155,5,1193,Action,"Anant Balani, Salman Khan"
2881,tt0102655,The Perfect Weapon,Mark DiSalle,The Perfect Weapon,1991-01-01,90,5,4576,Action,"Yoshimi Imai, Jeff Speakman"
2882,tt0102667,Speaking of the Devil,Enzo Barboni,Un piede in paradiso,1991-01-01,95,5,1245,Comedy,"Barry Hober, Giuseppe Pedersoli, Elmer Bailey, Bud Spencer"
2884,tt0102674,The Pistol: The Birth of a Legend,Frank C. Schroeder,The Pistol: The Birth of a Legend,1991-01-01,90,6,1377,Biography,"Nick Benedict, Adam Guier, Millie Perkins"
2887,tt0102685,Point Break,Kathryn Bigelow,Point Break,1991-01-01,122,7,189400,Action,"Keanu Reeves, Hilbert Hakim, Craig Binkley, Patrick Swayze"
2888,tt0102687,Poison,Todd Haynes,Poison,1991-01-01,85,6,4712,Drama,"Al Quagliata, Jean Genet, James Cagnard"
2889,tt0102691,The Pope Must Diet,Peter Richardson,The Pope Must Die,1991-01-01,97,5,1588,Comedy,"Marko Breskovic, Robbie Coltrane"
2892,tt0102703,Prayer of the Rollerboys,Rick King,Prayer of the Rollerboys,1990-01-01,95,5,2632,Action,"Jake Dengel, Doug Boyce, Christopher Collet, Corey Haim"
2895,tt0102713,The Prince of Tides,Barbra Streisand,The Prince of Tides,1991-01-01,132,6,18719,Drama,"Mark Fincannon, Nick Nolte, Jason Gould, Barbra Streisand"
2896,tt0102721,Proof,Jocelyn Moorhouse,Proof,1991-01-01,86,7,6904,Drama,"Jocelyn Moorhouse, Saskia Post, Hugo Weaving"
2897,tt0102722,Prospero's Books,Peter Greenaway,Prospero's Books,1991-01-01,124,6,6514,Drama,"Paul Russell, John Gielgud"
2898,tt0102729,Pure Luck,Nadia Tass,Pure Luck,1991-01-01,96,5,7379,Comedy,Martin Short
2900,tt0102737,The Magnificent Scoundrels,Lik-Chi Lee,Ching sing,1991-01-01,96,6,1091,Adventure,Stephen Chow
2901,tt0102741,Queens Logic,Steve Rash,Queens Logic,1991-01-01,100,5,1731,Comedy,"Candace Coster, Tony Spiridakis, Kevin Bacon"
2902,tt0102744,Quigley Down Under,Simon Wincer,Quigley Down Under,1990-01-01,119,6,22986,Action,"Tony Bonner, Jerome Ehlers, Laura San Giacomo, Tom Selleck"
2903,tt0102749,A Rage in Harlem,Bill Duke,A Rage in Harlem,1991-01-01,115,5,2249,Comedy,"Olivette Miller, Forest Whitaker"
2904,tt0102753,Rambling Rose,Martha Coolidge,Rambling Rose,1991-01-01,112,6,5226,Drama,"Martha Coolidge, Laura Dern"
2905,tt0102757,The Rapture,Michael Tolkin,The Rapture,1991-01-01,100,6,5580,Drama,"Douglas Roberts, Mimi Rogers"
2906,tt0102768,Regarding Henry,Mike Nichols,Regarding Henry,1991-01-01,108,6,33217,Drama,"Bruce Altman, Kamian Allen, Brian Smiar, Harrison Ford"
2911,tt0102782,Return to the Blue Lagoon,William A. Graham,Return to the Blue Lagoon,1991-01-01,102,5,20633,Adventure,"Annabel Graham, George Mannix, Brian Blain, Brian Krause"
2914,tt0102789,Ricochet,Russell Mulcahy,Ricochet,1991-01-01,102,6,19084,Action,"Paul Coleman, Shanice, Irene Cagen, Denzel Washington"
2915,tt0102797,Robin Hood,John Irvin,Robin Hood,1991-01-01,104,5,5509,Action,"Jeff Nuttall, Patrick Bergin, Phelim McDermott"
2916,tt0102798,Robin Hood: Prince of Thieves,Kevin Reynolds,Robin Hood: Prince of Thieves,1991-01-01,143,6,199018,Action,"Christian Slater, Kevin Costner, Mary Elizabeth Mastrantonio"
2917,tt0102800,Robot Jox,Stuart Gordon,Robot Jox,1989-01-01,85,5,6737,Action,"Michael Alldredge, Danny Kamekona, David Cameron, Gary Graham"
2918,tt0102803,The Rocketeer,Joe Johnston,The Rocketeer,1991-01-01,108,6,59384,Action,"Nada Despotovich, Jennifer Connelly, Billy Campbell"
2919,tt0102815,Calls Controlled,Sylwester Checinski,Rozmowy kontrolowane,1991-01-01,93,7,1588,Comedy,"Artur Kaczmarski, Jerzy Turek"
2920,tt0102816,Center Stage,Stanley Kwan,Ruan Ling Yu,1991-01-01,126,7,2431,Biography,Maggie Cheung
2921,tt0102817,Rubin and Ed,Trent Harris,Rubin and Ed,1991-01-01,82,7,1924,Comedy,Crispin Glover
2922,tt0102818,Run,Geoff Burrowes,Run,1991-01-01,91,6,2982,Action,"Duncan MacGregor, Hilary Strang, Patrick Dempsey"
2923,tt0102820,Rush,Lili Fini Zanuck,Rush,1991-01-01,120,6,9334,Action,"John Ray Harrison, Merrill Connally, Jason Patric"
2925,tt0102825,Saajan,Lawrence D'Souza,Saajan,1991-01-01,193,7,7140,Drama,Sanjay Dutt
2930,tt0102835,Sanam Bewafa,Saawan Kumar Tak,Sanam Bewafa,1991-01-01,160,5,1428,Drama,"Saawan Kumar Tak, Salman Khan"
2933,tt0102844,Saudagar,Subhash Ghai,Saudagar,1991-01-01,213,6,1522,Action,"Subhash Ghai, Dilip Kumar"
2934,tt0102846,Saugandh,Raj N. Sippy,Saugandh,1991-01-01,153,5,1012,Action,"Mayur Verma, Rakhee Gulzar"
2935,tt0102848,Scanners II: The New Order,Christian Duguay,Scanners II: The New Order,1991-01-01,104,5,3425,Action,"Doris Petrie, David Hewlett"
2936,tt0102849,Scenes from a Mall,Paul Mazursky,Scenes from a Mall,1991-01-01,89,5,5103,Comedy,"Laura Baler, Christopher Chadman, Bette Midler"
2938,tt0102855,Scream of Stone,Werner Herzog,Cerro Torre: Schrei aus Stein,1991-01-01,105,6,1416,Drama,"Vittorio Mezzogiorno, Stefan Glowacz, Vittorio Mezzogiorno"
2939,tt0102860,Scissors,Frank De Felitta,Scissors,1991-01-01,105,5,3111,Horror,"Frank De Felitta, Joyce Selznick, Sharon Stone"
2945,tt0102898,Shakes the Clown,Bobcat Goldthwait,Shakes the Clown,1991-01-01,87,5,5404,Comedy,"Bobcat Goldthwait, Bruce Baum, Bobcat Goldthwait"
2946,tt0102900,Shattered,Wolfgang Petersen,Shattered,1991-01-01,98,6,10648,Crime,"Bill Jelliffe, Georgia Durante, Tom Berenger"
2947,tt0102913,Shout,Jeffrey Hornaday,Shout,1991-01-01,89,5,2015,Drama,John Travolta
2951,tt0102926,The Silence of the Lambs,Jonathan Demme,The Silence of the Lambs,1991-01-01,118,8,1456110,Crime,"Jodie Foster, Roger Corman, Anthony Hopkins, Jodie Foster"
2953,tt0102943,Slacker,Richard Linklater,Slacker,1990-01-01,97,7,22471,Comedy,"Jean Caffeine, Brecht Andersch, Daniel Dugan"
2954,tt0102945,Sleeping with the Enemy,Joseph Ruben,Sleeping with the Enemy,1991-01-01,99,6,60770,Drama,"Kevin Anderson, Tony Abatemarco, Kyle Secor, Julia Roberts"
2955,tt0102951,Soapdish,Michael Hoffman,Soapdish,1991-01-01,97,6,16863,Comedy,"Cathy Moriarty, Joel Freeman, Rob Camilletti, Sally Field"
2956,tt0102958,SÇülo con tu pareja,Alfonso Cuarón,SÇülo con tu pareja,1991-01-01,94,6,3889,Comedy,"Astrid Hadad, Carlos Cuarón, Manuel Sevilla, Daniel Giménez Cacho"
2957,tt0102969,The Efficiency Expert,Mark Joffe,Spotswood,1991-01-01,97,6,1971,Comedy,"Ricky Fataar, Anthony Hopkins"
2958,tt0102975,Star Trek VI: The Undiscovered Country,Nicholas Meyer,Star Trek VI: The Undiscovered Country,1991-01-01,110,7,77722,Action,"Kim Cattrall, DeForest Kelley, Walter Koenig, William Shatner"
2960,tt0102979,Stepping Out,Lewis Gilbert,Stepping Out,1991-01-01,106,6,1182,Comedy,Liza Minnelli
2961,tt0102984,Stone Cold,Craig R. Baxley,Stone Cold,1991-01-01,92,6,9271,Action,"Steven K. Barnett, Jerry Colker, Brian Bosworth"
2965,tt0102993,Strangers in Good Company,Cynthia Scott,Strangers in Good Company,1990-01-01,101,7,1154,Adventure,Hannele Halm
2966,tt0103007,The Super,Rod Daniel,The Super,1991-01-01,84,5,5895,Comedy,"William Roberts, Kenny Blank, Joe Pesci"
2968,tt0103016,Switch,Blake Edwards,Switch,1991-01-01,103,5,9969,Comedy,"Leroy Wolfgramm, Ellen Barkin"
2970,tt0103030,High Heels,Pedro Almodóvar,Tacones lejanos,1991-01-01,112,7,16551,Comedy,"Marisa Paredes, Paula Soldevila, Elena Benarroch, Victoria Abril"
2971,tt0103035,Taking Care of Business,Arthur Hiller,Taking Care of Business,1990-01-01,108,6,8939,Comedy,"Bert Blyleven, Jim Belushi"
2973,tt0103039,Talkin' Dirty After Dark,Topper Carew,Talkin' Dirty After Dark,1991-01-01,89,5,7118,Comedy,"Johannes Spalt, Martin Lawrence"
2975,tt0103044,Prison on Fire II,Ringo Lam,Gam yuk fung wan II: To fan,1991-01-01,109,6,1281,Action,Chow Yun-Fat
2976,tt0103045,Fight Back to School,Gordon Chan,To hok wai lung,1991-01-01,100,7,4356,Action,"Man-Tat Ng, Qun Wang, Stephen Chow"
2977,tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-01-01,88,6,57615,Action,"Terry Morse Jr., Richard Divizio, Rickey Boyd, Paige Turco"
2978,tt0103064,Terminator 2: Judgment Day,James Cameron,Terminator 2: Judgment Day,1991-01-01,137,8,1115373,Action,"Charles William Breen, Edward Furlong, Linda Hamilton, Arnold Schwarzenegger"
2979,tt0103069,Texasville,Peter Bogdanovich,Texasville,1990-01-01,123,5,2861,Drama,"Carlye Berre, Jeff Bridges"
2980,tt0103074,Thelma & Louise,Ridley Scott,Thelma & Louise,1991-01-01,130,7,160389,Adventure,"Susan Sarandon, Timothy Carhart, Ridley Scott, Susan Sarandon"
2981,tt0103077,There's Nothing Out There,Rolfe Kanefsky,There's Nothing Out There,1991-01-01,91,5,1659,Comedy,NONE
2982,tt0103103,The Jackpot!,Claude Zidi,La totale !,1991-01-01,102,6,1710,Adventure,"Hélène Zidi, Jean-Pierre Brulois, Thierry Lhermitte"
2983,tt0103105,Toto the Hero,Jaco Van Dormael,Toto le hǸros,1991-01-01,91,7,6058,Comedy,"Sandrine Blancke, Jo De Backer, Michel Bouquet"
2984,tt0103110,Tous les matins du monde,Alain Corneau,Tous les matins du monde,1991-01-01,115,7,7559,Biography,"Alain Corneau, Anne Brochet, Guillaume Depardieu, Gérard Depardieu"
2985,tt0103112,Toy Soldiers,Daniel Petrie Jr.,Toy Soldiers,1991-01-01,111,6,23662,Action,"Mason Adams, Knowl Johnson, Wil Wheaton, Sean Astin"
2986,tt0103116,Trancers II,Charles Band,Trancers II,1991-01-01,88,5,2314,Action,"Dani Klein, Biff Manard, Tim Thomerson"
2989,tt0103125,True Colors,Herbert Ross,True Colors,1991-01-01,111,6,5459,Drama,"Donald 'Spec' Campen Jr., Joe Mattys, Peter Hackes, John Cusack"
2990,tt0103128,True Identity,Charles Lane,True Identity,1991-01-01,93,5,1280,Comedy,"Ilona Wilson, Bernadette Cooper, Lenny Henry"
2991,tt0103129,Truly Madly Deeply,Anthony Minghella,Truly Madly Deeply,1990-01-01,106,7,9608,Comedy,"Christopher Rozycki, Juliet Stevenson, Robert Cooper"
2992,tt0103130,Trust,Hal Hartley,Trust,1990-01-01,107,7,11637,Comedy,"Hal Hartley, Adrienne Shelly"
2995,tt0103150,Escape from the 'Liberty' Cinema,Wojciech Marczewski,Ucieczka z kina 'Wolnosc',1990-01-01,92,7,1127,Comedy,"Janusz Gajos, Eugenia Herman, Janusz Gajos"
2998,tt0103168,Une Ǹpoque formidable...,Gérard Jugnot,Une Ǹpoque formidable...,1991-01-01,96,6,1344,Comedy,Gérard Jugnot
3000,tt0103176,Close to Eden,Nikita Mikhalkov,Urga,1991-01-01,119,7,3743,Adventure,"Nikita Mikhalkov, Vladimir Gostyukhin"
3002,tt0103186,Cows,Julio Medem,Vacas,1992-01-01,96,7,3827,Drama,"Txema Blasco, Michel Gaztambide, Emma Suárez"
3003,tt0103190,Van Gogh,Maurice Pialat,Van Gogh,1991-01-01,158,7,3154,Adventure,"Lise Lamétrie, Maurice Coussonneau, Maurice Pialat, Jacques Dutronc"
3005,tt0103203,The Voyage of Captain Fracassa,Ettore Scola,Il viaggio di Capitan Fracassa,1990-01-01,132,7,1013,Adventure,"Paolo Biagetti, Naike Rivelli, Vincent Perez"
3009,tt0103239,Wedlock,Lewis Teague,Wedlock,1991-01-01,101,5,8812,Action,"Doug Gardner, Dean Abston, Rutger Hauer"
3010,tt0103241,What About Bob?,Frank Oz,What About Bob?,1991-01-01,99,7,71642,Comedy,"Charlie Korsmo, Fran Brill, Barbara Andres, Bill Murray"
3011,tt0103243,Where Angels Fear to Tread,Charles Sturridge,Where Angels Fear to Tread,1991-01-01,116,6,2342,Drama,"Giovanni Guidelli, Helena Bonham Carter"
3013,tt0103247,White Fang,Randal Kleiser,White Fang,1991-01-01,107,6,21549,Adventure,"Pius Savage, Tom Fallon, Michael David Lally, Ethan Hawke"
3014,tt0103251,White Palace,Luis Mandoki,White Palace,1990-01-01,103,6,8535,Drama,"Jimmy Griffin, Glenn Savan, Susan Sarandon"
3015,tt0103253,Whore,Ken Russell,Whore,1991-01-01,85,5,4014,Drama,"Joy Baggish, David Morales, Theresa Russell"
3016,tt0103262,Wild Hearts Can't Be Broken,Steve Miner,Wild Hearts Can't Be Broken,1991-01-01,88,7,5574,Drama,"Oley Sassone, Michael Schoeffling, Gabrielle Anwar"
3018,tt0103285,Once Upon a Time in China,Hark Tsui,Wong Fei Hung,1991-01-01,134,7,19181,Action,"Colin George, James Wong, Shi-Kwan Yen, Jet Li"
3024,tt0103295,Swordsman II,Siu-Tung Ching,Siu ngo gong woo: Dung Fong Bat Bai,1992-01-01,112,7,4580,Action,"Fennie Yuen, Jet Li"
3025,tt0103296,Fist of Fury 1991,Rico Chu,Xin jing wu men 1991,1991-01-01,96,6,1230,Action,Stephen Chow
3027,tt0103303,Year of the Gun,John Frankenheimer,Year of the Gun,1991-01-01,111,5,2794,Action,"Pietro Bontempo, Salvatore Billa, David Ambrose, Andrew McCarthy"
3037,tt0103328,Tricky Brains,Jing Wong,Jing goo juen ga,1991-01-01,110,7,2753,Comedy,"Rosamund Kwan, Stephen Chow"
3041,tt0103337,Zombie and the Ghost Train,Mika Kaurismäki,Zombie ja Kummitusjuna,1991-01-01,88,7,1063,Comedy,"Mika Kaurismäki, Marjo Leinonen, Silu Seppälä"
3042,tt0103594,1492: Conquest of Paradise,Ridley Scott,1492: Conquest of Paradise,1992-01-01,154,6,31258,Adventure,"Luciano Arroyo, Andrés Berenguer, Gérard Depardieu, Gérard Depardieu"
3043,tt0103596,3 Ninjas,Jon Turteltaub,3 Ninjas,1992-01-01,84,5,22285,Action,"Fritzi Burr, Victor Wong"
3044,tt0103601,Mother,Henri Verneuil,588 rue Paradis,1992-01-01,130,6,2048,Drama,Richard Berry
3050,tt0103644,Alien¶ü,David Fincher,Alien¶ü,1992-01-01,114,6,305828,Action,"Niall Buggy, Paul McGann, Chris Cunningham, Sigourney Weaver"
3053,tt0103670,American Heart,Martin Bell,American Heart,1992-01-01,113,6,3491,Crime,"Martin Bell, Kit McDonough, John Boylan, Jeff Bridges"
3054,tt0103671,American Me,Edward James Olmos,American Me,1992-01-01,125,7,9777,Biography,"Daniel A. Haro, Evelina Fernández, Danny De La Paz, Edward James Olmos"
3060,tt0103704,A Scene at the Sea,Takeshi Kitano,"Ano natsu, ichiban shizukana umi",1991-01-01,101,7,6223,Comedy,NONE
3067,tt0103747,The Babe,Arthur Hiller,The Babe,1992-01-01,115,5,11239,Biography,"Randy Moll, Brendan Hutt, John Goodman"
3069,tt0103759,Bad Lieutenant,Abel Ferrara,Bad Lieutenant,1992-01-01,96,7,44916,Crime,"Warner Fusselle, Abel Ferrara, Harvey Keitel"
3073,tt0103772,Basic Instinct,Paul Verhoeven,Basic Instinct,1992-01-01,127,7,206380,Drama,"Harry Shannon, Stephen Myles Berger, Jeanne Tripplehorn, Michael Douglas"
3074,tt0103776,Batman Returns,Tim Burton,Batman Returns,1992-01-01,126,7,311783,Action,"Susan Rossitto, Danny DeVito, Rick Zumwalt, Michael Keaton"
3077,tt0103786,Beethoven,Brian Levant,Beethoven,1992-01-01,87,5,73390,Comedy,"Patricia Heaton, Matthew Brooks, Todd Corman, Charles Grodin"
3080,tt0103791,Belle Epoque,Fernando Trueba,Belle Epoque,1992-01-01,109,7,10787,Comedy,"Ariadna Gil, Luis Alegre, Juan Botella, Fernando Fernán Gómez"
3081,tt0103793,Benny's Video,Michael Haneke,Benny's Video,1992-01-01,110,7,17363,Crime,"Pierre Sioufi, Max Berner, Shelley Kästner, Arno Frisch"
3083,tt0103800,Betty,Claude Chabrol,Betty,1992-01-01,103,6,1592,Drama,"Marie Trintignant, Sylvie Genty, Marie Trintignant"
3084,tt0103805,Beyond the Law,Larry Ferguson,Beyond the Law,1993-01-01,108,6,7140,Crime,"Lyndsay Riddell, Scott K. Coder, Phil Varone, Charlie Sheen"
3090,tt0103838,The Inner Circle,Andrey Konchalovskiy,The Inner Circle,1991-01-01,137,6,2117,Biography,"Aleksandr Garin, Evdokiya Germanova, Elena Borzunova, Tom Hulce"
3092,tt0103848,Blue Ice,Russell Mulcahy,Blue Ice,1992-01-01,105,5,1738,Action,"Philip Whitchurch, Dave Green, Michael Caine"
3093,tt0103850,Bob Roberts,Tim Robbins,Bob Roberts,1992-01-01,102,7,15307,Comedy,"Leland Sklar, Lamont Arnold, Tim Robbins"
3094,tt0103855,The Bodyguard,Mick Jackson,The Bodyguard,1992-01-01,129,6,139886,Action,"Roy Barnes, Nick Ashford, Whitney Houston, Kevin Costner"
3095,tt0103859,Boomerang,Reginald Hudlin,Boomerang,1992-01-01,117,5,30279,Comedy,"Grace Jones, Gene 'Groove' Allen, Toni Braxton, Eddie Murphy"
3096,tt0103873,Dead Alive,Peter Jackson,Braindead,1992-01-01,104,7,99527,Comedy,"Elizabeth Moody, Forrest J. Ackerman"
3097,tt0103874,Dracula,Francis Ford Coppola,Dracula,1992-01-01,128,7,223579,Drama,"Michael Ballhaus, Annie Lennox, Laurie Franks, Gary Oldman"
3100,tt0103893,Buffy the Vampire Slayer,Fran Rubel Kuzui,Buffy the Vampire Slayer,1992-01-01,86,5,46602,Action,"Luke Perry, Randall Batinkoff, Susanna Hoffs, Kristy Swanson"
3102,tt0103898,The Burning Moon,Olaf Ittenbach,The Burning Moon,1992-01-01,86,5,1175,Horror,NONE
3104,tt0103919,Candyman,Bernard Rose,Candyman,1992-01-01,99,6,94568,Horror,"Stanley DeSantis, Virginia Madsen, Clive Barker"
3105,tt0103924,Captain Ron,Thom Eberhardt,Captain Ron,1992-01-01,100,5,22043,Adventure,"Sunshine Logroño, Jorge Luis Ramos, Kurt Russell"
3106,tt0103926,Careful,Guy Maddin,Careful,1992-01-01,100,7,1906,Comedy,Brent Neale
3109,tt0103935,Rebels of the Neon God,Ming-liang Tsai,Qing shao nian nuo zha,1992-01-01,106,7,5015,Crime,"Yu-Wen Wang, Chao-jung Chen, Ming-liang Tsai"
3110,tt0103939,Chaplin,Richard Attenborough,Chaplin,1992-01-01,143,7,59281,Biography,"Anthony Bowles, Maria Pitillo, Ena Baga, Robert Downey Jr."
3113,tt0103949,The Chekist,Aleksandr Rogozhkin,Chekist,1992-01-01,89,7,1071,Drama,"Aleksandr Kharashkevich, Igor Sergeev"
3114,tt0103950,City Hunter,Jing Wong,Sing si lip yan,1993-01-01,105,6,11608,Action,"Kumiko Goto, Richard Norton, Jackie Chan"
3116,tt0103956,Child's Play 3,Jack Bender,Child's Play 3,1991-01-01,90,5,43339,Horror,"Ron Fassler, Lois Foraker, Travis Fine, Justin Whalin"
3118,tt0103969,The Oak,Lucian Pintilie,Balanta,1992-01-01,105,7,3503,Comedy,"Maia Morgenstern, Anca Berlogea-Boariu, Stelian Nistor, Maia Morgenstern"
3120,tt0103976,City of Joy,Roland Joffé,City of Joy,1992-01-01,132,6,5389,Drama,"Donald MacKechnie, Swatilekha Sengupta, Patrick Swayze"
3121,tt0103977,Claire of the Moon,Nicole Conn,Claire of the Moon,1992-01-01,107,5,1061,Drama,"Caren Graham, Trisha Todd"
3122,tt0103978,Class Act,Randall Miller,Class Act,1992-01-01,98,6,7838,Comedy,"Christopher Reid, Mariann Aalda, Christopher Reid"
3123,tt0103982,Cold Heaven,Nicolas Roeg,Cold Heaven,1991-01-01,105,5,1036,Drama,"Cliff Cunningham, Michael Zieper, Jack Schwartzman, Theresa Russell"
3124,tt0103991,The Comics 2,Neri Parenti,Le comiche 2,1991-01-01,91,5,1076,Comedy,Paolo Villaggio
3125,tt0103994,Like Water for Chocolate,Alfonso Arau,Como agua para chocolate,1992-01-01,105,7,18298,Drama,"Carlos Bolado, Lumi Cavazos, Alfonso Arau, Marco Leonardi"
3127,tt0104006,Consenting Adults,Alan J. Pakula,Consenting Adults,1992-01-01,99,5,8004,Crime,"Benjamin Hendrickson, Kevin Kline"
3128,tt0104008,A Tale of Winter,Éric Rohmer,Conte d'hiver,1992-01-01,114,7,5611,Drama,"Edwige Navarro, Danièle Lebrun"
3130,tt0104025,La crise,Coline Serreau,La crise,1992-01-01,95,6,1376,Comedy,"Coline Serreau, Maria Pacôme, Vincent Lindon"
3131,tt0104027,CrissCross,Chris Menges,CrissCross,1992-01-01,100,5,2098,Crime,"John Nesci, Jim Ladd, Goldie Hawn"
3132,tt0104028,The Black Bomber,Darko Bajic,Crni bombarder,1992-01-01,116,7,3456,Drama,"Goran Cavajda, Vladimir Divljan, Dragan Bjelogrlic"
3133,tt0104029,Cronos,Guillermo del Toro,Cronos,1992-01-01,94,6,31625,Drama,"Felipe Ehrenberg, Farnesio de Bernal, Brigitte Broch, Federico Luppi"
3136,tt0104036,The Crying Game,Neil Jordan,The Crying Game,1992-01-01,112,7,57307,Crime,"Stephen Rea, Jaye Davidson, Bryan Coleman, Stephen Rea"
3137,tt0104040,The Cutting Edge,Paul Michael Glaser,The Cutting Edge,1992-01-01,101,6,21274,Comedy,"Dwier Brown, Roy Dotrice, Chris Benson"
3138,tt0104046,Daens,Stijn Coninx,Daens,1992-01-01,138,7,4230,Biography,"Brenda Bertin, Jan Decleir, Myriam Bronzwaar"
3139,tt0104053,Trauma,Dario Argento,Trauma,1993-01-01,106,5,7574,Horror,Christopher Rydell
3141,tt0104057,Daughters of the Dust,Julie Dash,Daughters of the Dust,1991-01-01,113,6,2914,Drama,"Vertamae Grosvenor, Darrell O'Cook, Kaycee Moore, Cora Lee Day"
3142,tt0104070,Death Becomes Her,Robert Zemeckis,Death Becomes Her,1992-01-01,104,6,123282,Comedy,"Goldie Hawn, Michelle Johnson, Carol Bawer, Meryl Streep"
3143,tt0104073,Deep Cover,Bill Duke,Deep Cover,1992-01-01,107,6,12614,Action,"Daniel Bickel, René Assa, Dave Koz, Laurence Fishburne"
3145,tt0104082,The Democratic Terrorist,Per Berglund,Den demokratiske terroristen,1992-01-01,96,5,1190,Action,"Florentine Bruck, Willy Bartelsen, May Buchgraber, Stellan Skarsgård"
3151,tt0104107,Diggstown,Michael Ritchie,Diggstown,1992-01-01,98,6,7696,Drama,"David Fresco, Alex Garcia, James Woods"
